DBMS	RUNID	QUERYNUM	UPPER_GEN	LOWER_GEN	UPPER_CARD	LOWER_CARD	NEAREST_CARD	UPPER_CQT	UPPER_EP_CQT	LOWER_CQT	NEAREST_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
oracle	438	81	5	3	390000	380000	70000	790	744.8	730	270	HASH,HASH JOIN,SELECT STATEMENT,VIEW	HASH,HASH JOIN,SELECT STATEMENT
oracle	438	82	6	3	360000	350000	220000	400	430.4	420	285	HASH JOIN,MERGE JOIN,SELECT STATEMENT,SORT	HASH,HASH JOIN,SELECT STATEMENT
oracle	438	83	5	3	960000	950000	830000	1682.5	1380	1357.5	1087.5	HASH,HASH JOIN,SELECT STATEMENT,VIEW	HASH,HASH JOIN,SELECT STATEMENT
oracle	438	83	5	3	80000	70000	60000	140	170	160	150	HASH,HASH JOIN,SELECT STATEMENT,VIEW	HASH,HASH JOIN,SELECT STATEMENT
oracle	438	87	5	3	840000	830000	110000	777.5	546.9	540	40	HASH,HASH JOIN,SELECT STATEMENT,VIEW	HASH,HASH JOIN,SELECT STATEMENT
oracle	438	95	5	3	770000	760000	610000	1035	1211.3	1202.5	1070	HASH,HASH JOIN,SELECT STATEMENT,VIEW	HASH,HASH JOIN,SELECT STATEMENT
pgsql	230	9	5	4	1550000	1540000	1460000	10792.5	6275	6175	5375	Merge Join,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	230	24	5	4	550000	540000	520000	1755	887.5	875	850	Hash Join,Hash,Merge Join,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	15	8	4	790000	780000	730000	3410	3559.5	3525	3352.5	Hash Join,Hash,Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	42	5	4	1660000	1650000	1090000	4605	3897.8	3880	2885	Hash Join,Hash,Merge Join,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
