DBMS	RUNID	QUERYNUM	UPPER_CARD	LOWER_CARD	UPPER_GEN	LOWER_GEN	UPPER_PLAN	LOWER_PLAN	UPPER_CQT	LOWER_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	439	36	730000	720000	6	6	-7010550721405425952	3681236430937551584	870	820	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	36	990000	980000	6	6	-7010550721405425952	-7010550721405425952	1105	1100	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	37	1000000	990000	6	6	6661927845050267360	7651964258171830496	1140	1100	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	37	1010000	1000000	6	6	-275047469769725472	6661927845050267360	1240	1140	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	39	1190000	1180000	3	3	-1808039168913698208	2660673415345483520	680	360	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	41	340000	330000	5	5	2748372304685851488	2748372304685851488	320	310	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	420000	410000	5	5	2748372304685851488	-5493717588529050272	395	380	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1000000	990000	5	5	2695391409335607648	-5493717588529050272	1275	1120	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1200000	1190000	5	5	4993976822205043552	2695391409335607648	1530	1485	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1270000	1260000	5	5	2695391409335607648	4993976822205043552	1570	1205	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1410000	1400000	5	5	2695391409335607648	4993976822205043552	1730	1280	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1460000	1450000	5	5	4993976822205043552	2695391409335607648	1745	1760	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1500000	1490000	5	5	2695391409335607648	4993976822205043552	1840	1340	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1540000	1530000	5	5	4993976822205043552	2695391409335607648	1365	1860	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1600000	1590000	5	5	4993976822205043552	2695391409335607648	1390	1940	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
