TASK_LEN (in s)	SAMPLE_SIZE	RAW_BIN (in ms)	RAW_FREQ	NOR_PT	REL_FREQ
256	300	256559	1	2.18359375	0.00333333333333333
256	300	256561	0	2.19140625	0
256	300	256563	0	2.19921875	0
256	300	256565	0	2.20703125	0
256	300	256567	0	2.21484375	0
256	300	256569	0	2.22265625	0
256	300	256571	1	2.23046875	0.00333333333333333
512	300	513078.5	34	2.1064453125	0.113333333333333
512	300	513083.5	119	2.1162109375	0.396666666666667
512	300	513088.5	106	2.1259765625	0.353333333333333
512	300	513093.5	32	2.1357421875	0.106666666666667
512	300	513098.5	6	2.1455078125	0.02
1024	300	1026152.5	12	2.10205078125	0.04
1024	300	1026157.5	44	2.10693359375	0.146666666666667
1024	300	1026162.5	92	2.11181640625	0.306666666666667
1024	300	1026167.5	89	2.11669921875	0.296666666666667
1024	300	1026172.5	43	2.12158203125	0.143333333333333
1024	300	1026177.5	10	2.12646484375	0.0333333333333333
1024	300	1026182.5	4	2.13134765625	0.0133333333333333
1024	300	1026187.5	1	2.13623046875	0.00333333333333333
1024	300	1026192.5	1	2.14111328125	0.00333333333333333
2048	300	2052250.5	3	2.075439453125	0.01
2048	300	2052255.5	7	2.077880859375	0.0233333333333333
2048	300	2052260.5	25	2.080322265625	0.0833333333333333
2048	300	2052265.5	56	2.082763671875	0.186666666666667
2048	300	2052270.5	78	2.085205078125	0.26
2048	300	2052275.5	66	2.087646484375	0.22
2048	300	2052280.5	31	2.090087890625	0.103333333333333
2048	300	2052285.5	20	2.092529296875	0.0666666666666667
2048	300	2052290.5	9	2.094970703125	0.03
2048	300	2052295.5	1	2.097412109375	0.00333333333333333
2048	300	2052300.5	2	2.099853515625	0.00666666666666667
2048	300	2052305.5	1	2.102294921875	0.00333333333333333
2048	300	2052310.5	0	2.104736328125	0
2048	300	2052315.5	0	2.107177734375	0
2048	300	2052320.5	0	2.109619140625	0
2048	300	2052325.5	0	2.112060546875	0
2048	300	2052330.5	0	2.114501953125	0
2048	300	2052335.5	0	2.116943359375	0
2048	300	2052340.5	0	2.119384765625	0
2048	300	2052345.5	0	2.121826171875	0
2048	300	2052350.5	0	2.124267578125	0
2048	300	2052355.5	0	2.126708984375	0
2048	300	2052360.5	0	2.129150390625	0
2048	300	2052365.5	0	2.131591796875	0
2048	300	2052370.5	0	2.134033203125	0
2048	300	2052375.5	0	2.136474609375	0
2048	300	2052380.5	0	2.138916015625	0
2048	300	2052385.5	0	2.141357421875	0
2048	300	2052390.5	0	2.143798828125	0
2048	300	2052395.5	0	2.146240234375	0
2048	300	2052400.5	0	2.148681640625	0
2048	300	2052405.5	0	2.151123046875	0
2048	300	2052410.5	0	2.153564453125	0
2048	300	2052415.5	0	2.156005859375	0
2048	300	2052420.5	0	2.158447265625	0
2048	300	2052425.5	0	2.160888671875	0
2048	300	2052430.5	0	2.163330078125	0
2048	300	2052435.5	0	2.165771484375	0
2048	300	2052440.5	0	2.168212890625	0
2048	300	2052445.5	0	2.170654296875	0
2048	300	2052450.5	0	2.173095703125	0
2048	300	2052455.5	1	2.175537109375	0.00333333333333333
4096	300	4103956.5	3	1.9425048828125	0.01
4096	300	4103961.5	3	1.9437255859375	0.01
4096	300	4103966.5	8	1.9449462890625	0.0266666666666667
4096	300	4103971.5	22	1.9461669921875	0.0733333333333333
4096	300	4103976.5	28	1.9473876953125	0.0933333333333333
4096	300	4103981.5	33	1.9486083984375	0.11
4096	300	4103986.5	32	1.9498291015625	0.106666666666667
4096	300	4103991.5	50	1.9510498046875	0.166666666666667
4096	300	4103996.5	44	1.9522705078125	0.146666666666667
4096	300	4104001.5	34	1.9534912109375	0.113333333333333
4096	300	4104006.5	21	1.9547119140625	0.07
4096	300	4104011.5	5	1.9559326171875	0.0166666666666667
4096	300	4104016.5	1	1.9571533203125	0.00333333333333333
4096	300	4104021.5	1	1.9583740234375	0.00333333333333333
8192	260	8209064.5	3	2.08306884765625	0.0115384615384615
8192	260	8209069.5	5	2.08367919921875	0.0192307692307692
8192	260	8209074.5	2	2.08428955078125	0.00769230769230769
8192	260	8209079.5	7	2.08489990234375	0.0269230769230769
8192	260	8209084.5	4	2.08551025390625	0.0153846153846154
8192	260	8209089.5	14	2.08612060546875	0.0538461538461538
8192	260	8209094.5	18	2.08673095703125	0.0692307692307692
8192	260	8209099.5	24	2.08734130859375	0.0923076923076923
8192	260	8209104.5	25	2.08795166015625	0.0961538461538462
8192	260	8209109.5	31	2.08856201171875	0.119230769230769
8192	260	8209114.5	24	2.08917236328125	0.0923076923076923
8192	260	8209119.5	30	2.08978271484375	0.115384615384615
8192	260	8209124.5	16	2.09039306640625	0.0615384615384615
8192	260	8209129.5	23	2.09100341796875	0.0884615384615385
8192	260	8209134.5	11	2.09161376953125	0.0423076923076923
8192	260	8209139.5	11	2.09222412109375	0.0423076923076923
8192	260	8209144.5	5	2.09283447265625	0.0192307692307692
8192	260	8209149.5	3	2.09344482421875	0.0115384615384615
8192	260	8209154.5	3	2.09405517578125	0.0115384615384615
8192	260	8209159.5	1	2.09466552734375	0.00384615384615385
16384	130	16416269.5	5	1.96957397460938	0.0384615384615385
16384	130	16416274.5	0	1.96987915039062	0
16384	130	16416279.5	3	1.97018432617188	0.0230769230769231
16384	130	16416284.5	0	1.97048950195312	0
16384	130	16416289.5	3	1.97079467773438	0.0230769230769231
16384	130	16416294.5	3	1.97109985351562	0.0230769230769231
16384	130	16416299.5	4	1.97140502929688	0.0307692307692308
16384	130	16416304.5	4	1.97171020507812	0.0307692307692308
16384	130	16416309.5	2	1.97201538085938	0.0153846153846154
16384	130	16416314.5	6	1.97232055664062	0.0461538461538462
16384	130	16416319.5	8	1.97262573242188	0.0615384615384615
16384	130	16416324.5	5	1.97293090820312	0.0384615384615385
16384	130	16416329.5	0	1.97323608398438	0
16384	130	16416334.5	5	1.97354125976562	0.0384615384615385
16384	130	16416339.5	4	1.97384643554688	0.0307692307692308
16384	130	16416344.5	10	1.97415161132812	0.0769230769230769
16384	130	16416349.5	7	1.97445678710938	0.0538461538461538
16384	130	16416354.5	8	1.97476196289062	0.0615384615384615
16384	130	16416359.5	12	1.97506713867188	0.0923076923076923
16384	130	16416364.5	7	1.97537231445312	0.0538461538461538
