ITERNUM	U_TIME	S_TIME	PRTIME	METIME
1	2005	0	2005	2005
2	2005	0	2005	2005
3	2006	0	2006	2007
4	2005	0	2005	2005
5	2005	0	2005	2005
6	2003	0	2003	2003
7	2003	0	2003	2004
8	2005	0	2005	2005
9	2004	1	2005	2005
10	2005	0	2005	2005
11	2006	0	2006	2007
12	2005	0	2005	2005
13	2005	0	2005	2005
14	2004	0	2004	2005
15	2002	0	2002	2002
16	2005	0	2005	2004
17	2005	0	2005	2005
18	2005	0	2005	2005
19	2006	0	2006	2007
20	2005	0	2005	2005
21	2005	0	2005	2005
22	2005	0	2005	2005
23	2000	0	2000	2000
24	2005	0	2005	2005
25	2005	0	2005	2005
26	2005	0	2005	2005
27	2005	0	2005	2005
28	2006	0	2006	2007
29	2005	0	2005	2005
30	2004	0	2004	2005
31	1999	0	1999	1999
32	2005	0	2005	2007
33	2005	0	2005	2005
34	2005	0	2005	2005
35	2005	0	2005	2005
36	2005	0	2005	2007
37	2005	0	2005	2005
38	2005	0	2005	2005
39	1998	0	1998	1999
40	2006	0	2006	2007
41	2005	0	2005	2005
42	2004	1	2005	2005
43	2005	0	2005	2005
44	2006	0	2006	2007
45	2005	0	2005	2005
46	2005	0	2005	2005
47	1999	0	1999	1998
48	2006	0	2006	2007
49	2005	0	2005	2005
50	2005	0	2005	2005
51	2005	0	2005	2005
52	2005	0	2005	2005
53	2005	0	2005	2005
54	2005	0	2005	2005
55	1999	0	1999	2000
56	2005	0	2005	2005
57	2006	0	2006	2007
58	2005	0	2005	2005
59	2005	0	2005	2006
60	2005	0	2005	2005
61	2006	0	2006	2007
62	2005	0	2005	2005
63	2000	0	2000	2000
64	2005	0	2005	2005
65	2006	0	2006	2007
66	2005	0	2005	2005
67	2005	0	2005	2004
68	2005	0	2005	2005
69	2006	0	2006	2007
70	2004	0	2004	2005
71	2001	0	2001	2001
72	2005	0	2005	2005
73	2005	1	2006	2007
74	2005	0	2005	2005
75	2005	0	2005	2005
76	2006	0	2006	2005
77	2007	0	2007	2007
78	2005	0	2005	2005
79	2002	0	2002	2001
80	2004	0	2004	2004
81	2006	0	2006	2007
82	2005	0	2005	2005
83	2005	0	2005	2005
84	2005	0	2005	2005
85	2004	0	2004	2005
86	2005	0	2005	2005
87	2002	0	2002	2002
88	2004	0	2004	2003
89	2005	0	2005	2005
90	2007	0	2007	2008
91	2005	0	2005	2004
92	2005	0	2005	2005
93	2005	0	2005	2005
94	2006	0	2006	2007
95	2003	0	2003	2003
96	2002	0	2002	2002
97	2005	0	2005	2005
98	2006	0	2006	2007
99	2004	1	2005	2005
100	2005	0	2005	2005
101	2005	0	2005	2005
102	2007	0	2007	2008
103	2003	0	2003	2004
104	2002	0	2002	2002
105	2005	0	2005	2005
106	2006	0	2006	2007
107	2005	0	2005	2005
108	2005	0	2005	2004
109	2005	0	2005	2005
110	2006	0	2006	2007
111	2005	0	2005	2005
112	2001	0	2001	2000
113	2005	0	2005	2005
114	2005	0	2005	2005
115	2005	0	2005	2005
116	2005	0	2005	2005
117	2005	0	2005	2005
118	2005	0	2005	2005
119	2006	0	2006	2007
120	1999	0	1999	1999
121	2004	0	2004	2005
122	2005	0	2005	2005
123	2006	0	2006	2007
124	2005	0	2005	2005
125	2005	0	2005	2004
126	2005	0	2005	2005
127	2007	0	2007	2010
128	1999	0	1999	1999
129	2004	0	2004	2005
130	2004	0	2004	2005
131	2006	0	2006	2007
132	2005	0	2005	2005
133	2005	0	2005	2006
134	2005	0	2005	2005
135	2006	0	2006	2007
136	1999	0	1999	1999
137	2005	0	2005	2005
138	2005	0	2005	2005
139	2006	0	2006	2007
140	2005	0	2005	2005
141	2005	0	2005	2005
142	2005	0	2005	2005
143	2005	0	2005	2005
144	2000	0	2000	1999
145	2005	0	2005	2005
146	2005	0	2005	2005
147	2005	0	2005	2005
148	2005	0	2005	2007
149	2005	0	2005	2005
150	2005	0	2005	2005
151	2005	0	2005	2005
152	2002	0	2002	2002
153	2005	0	2005	2005
154	2005	0	2005	2005
155	2005	0	2005	2006
156	2006	0	2006	2007
157	2005	0	2005	2005
158	2005	0	2005	2005
159	2005	0	2005	2005
160	2003	0	2003	2003
161	2004	0	2004	2004
162	2004	1	2005	2005
163	2005	0	2005	2005
164	2006	0	2006	2007
165	2004	0	2004	2005
166	2005	0	2005	2005
167	2005	0	2005	2005
168	2003	0	2003	2002
169	2004	0	2004	2003
170	2005	0	2005	2005
171	2005	0	2005	2005
172	2005	0	2005	2005
173	2006	0	2006	2007
174	2005	0	2005	2005
175	2005	0	2005	2005
176	2003	0	2003	2003
177	2003	0	2003	2004
178	2005	0	2005	2005
179	2005	0	2005	2005
180	2005	0	2005	2005
181	2006	0	2006	2007
182	2005	0	2005	2005
183	2005	0	2005	2005
184	2004	0	2004	2005
185	2002	0	2002	2002
186	2005	0	2005	2005
187	2005	0	2005	2005
188	2005	0	2005	2005
189	2006	0	2006	2007
190	2005	0	2005	2005
191	2005	0	2005	2005
192	2005	0	2005	2005
193	2001	0	2001	2003
194	2005	1	2006	2005
195	2005	0	2005	2005
196	2005	0	2005	2005
197	2005	0	2005	2005
198	2005	0	2005	2005
199	2005	0	2005	2005
200	2005	0	2005	2005
201	1998	0	1998	1999
202	2006	0	2006	2007
203	2005	0	2005	2005
204	2005	0	2005	2005
205	2005	0	2005	2005
206	2006	0	2006	2006
207	2005	0	2005	2005
208	2005	0	2005	2005
209	1999	0	1999	1999
