INC_NUMBER	BIN_NUMBER	BIN_FREQUENCY
104	104227	36
104	104228	15
112	112235	5
112	112236	25
112	112237	80
112	112238	171
112	112239	217
112	112240	168
112	112241	100
112	112242	64
112	112243	42
112	112244	49
112	112245	42
120	120251	54
120	120252	54
120	120253	62
120	120254	45
120	120255	76
120	120256	123
120	120257	179
120	120258	176
120	120259	98
120	120260	38
120	120261	29
120	120262	16
128	128267	4
128	128268	28
128	128269	35
128	128270	40
128	128271	41
128	128272	34
128	128273	30
128	128274	21
128	128275	28
128	128276	14
128	128277	11
160	160335	30
160	160336	57
160	160337	53
160	160338	52
160	160339	54
160	160340	82
160	160341	108
160	160342	124
160	160343	111
160	160344	76
160	160345	53
160	160346	51
160	160347	46
160	160348	37
160	160349	29
192	192402	14
192	192403	26
192	192404	34
192	192405	55
192	192406	70
192	192407	120
192	192408	125
192	192409	106
192	192410	93
192	192411	71
192	192412	76
192	192413	66
192	192414	53
192	192415	32
192	192416	21
224	224469	10
224	224470	26
224	224471	35
224	224472	58
224	224473	94
224	224474	96
224	224475	93
224	224476	89
224	224477	103
224	224478	85
224	224479	79
224	224480	59
224	224481	47
224	224482	37
224	224483	25
224	224484	18
256	256536	6
256	256537	10
256	256538	17
256	256539	12
256	256540	21
256	256541	18
256	256542	29
256	256543	35
256	256544	25
256	256545	27
256	256546	24
256	256547	18
256	256548	17
256	256549	10
256	256550	12
256	256551	5
256	256552	4
512	513072	2
512	513073	3
512	513074	5
512	513075	10
512	513076	9
512	513077	13
512	513078	24
512	513079	23
512	513080	24
512	513081	17
512	513082	19
512	513083	28
512	513084	19
512	513085	19
512	513086	15
512	513087	17
512	513088	12
512	513089	7
512	513090	11
512	513091	6
512	513092	4
1024	1026169	4
1024	1026170	6
1024	1026171	6
1024	1026172	7
1024	1026173	8
1024	1026174	8
1024	1026175	14
1024	1026176	12
1024	1026177	13
1024	1026178	25
1024	1026179	10
1024	1026180	20
1024	1026181	19
1024	1026182	22
1024	1026183	22
1024	1026184	19
1024	1026185	13
1024	1026186	17
1024	1026187	7
1024	1026188	11
1024	1026189	6
1024	1026190	8
1024	1026191	4
1024	1026192	3
1024	1026193	4
2048	2052248	1
2048	2052249	2
2048	2052253	1
2048	2052254	3
2048	2052256	2
2048	2052257	1
2048	2052258	4
2048	2052259	3
2048	2052260	5
2048	2052261	6
2048	2052262	7
2048	2052263	7
2048	2052264	13
2048	2052265	11
2048	2052266	11
2048	2052267	14
2048	2052268	18
2048	2052269	18
2048	2052270	20
2048	2052271	15
2048	2052272	7
2048	2052273	13
2048	2052274	10
2048	2052275	20
2048	2052276	10
2048	2052277	13
2048	2052278	9
2048	2052279	6
2048	2052280	6
2048	2052281	7
2048	2052282	3
2048	2052283	9
2048	2052284	3
2048	2052285	2
2048	2052286	2
2048	2052287	4
2048	2052288	2
2048	2052289	3
2048	2052291	1
2048	2052292	3
2048	2052296	1
4096	4103965	2
4096	4103966	2
4096	4103967	2
4096	4103968	1
4096	4103969	4
4096	4103971	1
4096	4103972	5
4096	4103973	13
4096	4103974	7
4096	4103975	7
4096	4103976	3
4096	4103977	6
4096	4103978	7
4096	4103979	5
4096	4103980	9
4096	4103981	4
4096	4103982	7
4096	4103983	8
4096	4103984	7
4096	4103985	7
4096	4103986	6
4096	4103987	6
4096	4103988	7
4096	4103989	16
4096	4103990	9
4096	4103991	9
4096	4103992	14
4096	4103993	5
4096	4103994	11
4096	4103995	10
4096	4103996	11
4096	4103997	6
4096	4103998	8
4096	4103999	9
4096	4104000	2
4096	4104001	9
4096	4104002	12
4096	4104003	5
4096	4104004	7
4096	4104005	6
4096	4104006	6
4096	4104007	2
4096	4104008	3
4096	4104009	1
4096	4104010	2
4096	4104011	1
8192	8209075.999	2
8192	8209077.999	1
8192	8209078.999	2
8192	8209079.999	1
8192	8209080.999	1
8192	8209081.999	2
8192	8209083.999	1
8192	8209085.999	1
8192	8209086.999	2
8192	8209087.999	2
8192	8209088.999	2
8192	8209089.999	3
8192	8209090.999	6
8192	8209091.999	1
8192	8209092.999	7
8192	8209093.999	1
8192	8209094.999	2
8192	8209095.999	3
8192	8209096.999	5
8192	8209097.999	4
8192	8209098.999	1
8192	8209099.999	5
8192	8209100.999	7
8192	8209101.999	7
8192	8209102.999	5
8192	8209103.999	9
8192	8209104.999	4
8192	8209105.999	5
8192	8209106.999	2
8192	8209107.999	10
8192	8209108.999	7
8192	8209109.999	3
8192	8209110.999	8
8192	8209111.999	3
8192	8209112.999	8
8192	8209113.999	4
8192	8209114.999	4
8192	8209115.999	2
8192	8209116.999	7
8192	8209117.999	11
8192	8209118.999	6
8192	8209119.999	4
8192	8209120.999	4
8192	8209121.999	5
8192	8209122.999	8
8192	8209123.999	2
8192	8209124.999	3
8192	8209125.999	1
8192	8209126.999	2
8192	8209127.999	5
8192	8209128.999	4
8192	8209129.999	5
8192	8209130.999	5
8192	8209131.999	4
8192	8209132.999	2
8192	8209133.999	1
8192	8209134.999	3
8192	8209135.999	4
8192	8209136.999	1
8192	8209138.999	2
8192	8209139.999	4
8192	8209140.999	4
8192	8209141.999	1
8192	8209143.999	3
8192	8209144.999	1
8192	8209145.999	1
8192	8209147.999	1
16384	16416278.997	1
16384	16416279.997	1
16384	16416280.997	1
16384	16416287.997	1
16384	16416291.997	2
16384	16416293.997	1
16384	16416294.997	1
16384	16416296.997	1
16384	16416297.997	1
16384	16416300.997	2
16384	16416301.997	1
16384	16416306.997	4
16384	16416308.997	1
16384	16416309.997	1
16384	16416312.997	1
16384	16416314.997	2
16384	16416315.997	2
16384	16416316.997	1
16384	16416317.997	1
16384	16416318.997	1
16384	16416319.997	2
16384	16416320.997	2
16384	16416321.997	2
16384	16416324.997	4
16384	16416326.997	1
16384	16416332.997	1
16384	16416334.997	1
16384	16416335.997	2
16384	16416336.997	1
16384	16416337.997	1
16384	16416338.997	1
16384	16416340.997	1
16384	16416341.997	1
16384	16416342.997	3
16384	16416343.997	2
16384	16416345.997	1
16384	16416346.997	4
16384	16416347.997	4
16384	16416348.997	1
16384	16416349.997	1
16384	16416351.997	1
16384	16416352.997	1
16384	16416354.997	1
16384	16416356.997	6
16384	16416357.997	2
16384	16416358.997	1
16384	16416359.997	1
16384	16416360.997	2
16384	16416361.997	6
16384	16416362.997	3
16384	16416363.997	3
16384	16416365.997	1
16384	16416369.997	4
16384	16416371.997	1
16384	16416372.997	2
16384	16416373.997	1
16384	16416375.997	1
16384	16416376.997	1
16384	16416379.997	1
16384	16416380.997	1
16384	16416381.997	2
16384	16416383.997	1
16384	16416384.997	1
16384	16416385.997	1
16384	16416387.997	2
16384	16416388.997	1
16384	16416389.997	1
16384	16416390.997	1
16384	16416391.997	1
16384	16416392.997	1
16384	16416393.997	2
16384	16416395.997	1
16384	16416396.997	1
16384	16416398.997	1
16384	16416399.997	1
16384	16416405.997	1
16384	16416410.997	1
