ITERNUM	U_TIME	S_TIME	PRTIME	METIME
199	2052229	33	2052262	2052494
200	2052212	36	2052248	2052482
201	2052214	45	2052259	2052488
202	2052211	43	2052254	2052486
203	2052218	40	2052258	2052496
204	2052220	47	2052267	2052500
205	2052219	48	2052267	2052500
206	2052232	51	2052283	2052516
207	2052218	44	2052262	2052500
208	2052242	34	2052276	2052508
209	2052233	46	2052279	2052509
210	2052236	41	2052277	2052510
211	2052214	56	2052270	2052500
212	2052232	42	2052274	2052499
213	2052226	41	2052267	2052498
214	2052232	41	2052273	2052505
215	2052249	38	2052287	2052516
216	2052228	41	2052269	2052500
217	2052235	44	2052279	2052512
218	2052217	37	2052254	2052489
219	2052230	43	2052273	2052498
220	2052217	41	2052258	2052491
221	2052220	29	2052249	2052482
222	2052226	39	2052265	2052494
223	2052225	43	2052268	2052500
224	2052237	43	2052280	2052509
225	2052235	40	2052275	2052507
226	2052226	37	2052263	2052490
227	2052248	29	2052277	2052516
228	2052222	46	2052268	2052502
229	2052222	41	2052263	2052501
230	2052232	36	2052268	2052499
231	2052234	43	2052277	2052510
232	2052223	46	2052269	2052500
233	2052233	41	2052274	2052516
234	2052239	39	2052278	2052511
235	2052225	38	2052263	2052491
236	2052224	38	2052262	2052489
237	2052225	41	2052266	2052497
238	2052255	45	2052300	2052576
239	2052225	43	2052268	2052507
240	2052238	36	2052274	2052505
241	2052224	48	2052272	2052503
242	2052214	47	2052261	2052495
243	2052233	39	2052272	2052503
244	2052218	51	2052269	2052505
245	2052237	31	2052268	2052499
246	2052220	45	2052265	2052500
247	2052232	37	2052269	2052497
248	2052221	50	2052271	2052506
249	2052224	40	2052264	2052498
250	2052237	38	2052275	2052502
251	2052225	43	2052268	2052505
252	2052242	37	2052279	2052512
253	2052241	46	2052287	2052516
254	2052240	37	2052277	2052509
255	2052215	62	2052277	2052510
256	2052223	58	2052281	2052509
257	2052241	42	2052283	2052515
258	2052234	35	2052269	2052501
259	2052231	42	2052273	2052505
260	2052227	42	2052269	2052503
261	2052234	43	2052277	2052507
262	2052226	54	2052280	2052510
263	2052211	49	2052260	2052492
264	2052234	36	2052270	2052509
265	2052231	31	2052262	2052494
266	2052234	41	2052275	2052508
267	2052217	45	2052262	2052493
268	2052217	45	2052262	2052502
269	2052225	35	2052260	2052493
270	2052229	39	2052268	2052498
271	2052235	46	2052281	2052507
272	2052228	36	2052264	2052495
273	2052237	41	2052278	2052510
274	2052217	51	2052268	2052505
275	2052227	58	2052285	2052520
276	2052230	51	2052281	2052508
277	2052205	60	2052265	2052504
278	2052240	51	2052291	2052517
279	2052247	35	2052282	2052507
280	2052231	56	2052287	2052564
281	2052217	50	2052267	2052505
282	2052230	41	2052271	2052502
283	2052238	33	2052271	2052504
284	2052225	36	2052261	2052498
285	2052222	48	2052270	2052508
286	2052243	34	2052277	2052513
287	2052233	52	2052285	2052514
288	2052227	49	2052276	2052512
289	2052212	46	2052258	2052491
290	2052225	45	2052270	2052501
291	2052212	52	2052264	2052495
292	2052226	45	2052271	2052502
293	2052225	45	2052270	2052506
294	2052228	26	2052254	2052490
295	2052230	50	2052280	2052518
296	2052234	33	2052267	2052498
297	2052245	47	2052292	2052524
298	2052225	41	2052266	2052498
299	2052230	40	2052270	2052499
300	2052220	45	2052265	2052498
