ITERNUM	U_TIME	S_TIME	PRTIME	METIME
1	64135	2	64137	64143
2	64135	2	64137	64146
3	64138	2	64140	64146
4	64137	2	64139	64146
5	64132	1	64133	64139
6	64134	2	64136	64144
7	64137	2	64139	64145
8	64130	1	64131	64139
9	64138	0	64138	64146
10	64130	1	64131	64139
11	64136	1	64137	64147
12	64137	1	64138	64144
13	64129	4	64133	64139
14	64133	3	64136	64144
15	64134	2	64136	64144
16	64130	1	64131	64139
17	64139	0	64139	64145
18	64134	4	64138	64145
19	64130	1	64131	64139
20	64137	2	64139	64147
21	64136	0	64136	64142
22	64137	0	64137	64144
23	64138	0	64138	64145
24	64131	2	64133	64141
25	64134	3	64137	64145
26	64135	1	64136	64145
27	64131	2	64133	64140
28	64135	2	64137	64144
29	64138	2	64140	64147
30	64129	4	64133	64139
31	64137	3	64140	64146
32	64136	2	64138	64145
33	64131	3	64134	64142
34	64137	0	64137	64144
35	64130	1	64131	64140
36	64137	1	64138	64145
37	64134	3	64137	64144
38	64131	0	64131	64140
39	64136	2	64138	64144
40	64137	1	64138	64146
41	64130	2	64132	64139
42	64136	2	64138	64147
43	64134	2	64136	64142
44	64134	1	64135	64143
45	64138	1	64139	64144
46	64132	1	64133	64139
47	64136	2	64138	64144
48	64137	1	64138	64145
49	64132	0	64132	64140
50	64135	1	64136	64143
51	64138	1	64139	64147
52	64130	1	64131	64138
53	64138	1	64139	64146
54	64130	3	64133	64138
55	64139	0	64139	64146
56	64137	0	64137	64144
57	64132	1	64133	64139
58	64140	0	64140	64147
59	64135	5	64140	64148
60	64132	1	64133	64139
61	64134	3	64137	64144
62	64137	1	64138	64145
63	64128	2	64130	64137
64	64136	2	64138	64146
65	64136	3	64139	64144
66	64128	4	64132	64139
67	64135	3	64138	64145
68	64135	2	64137	64145
69	64131	2	64133	64140
70	64137	0	64137	64144
71	64138	2	64140	64146
72	64129	0	64129	64138
73	64138	1	64139	64147
74	64136	1	64137	64145
75	64129	3	64132	64139
76	64133	2	64135	64143
77	64135	3	64138	64144
78	64130	2	64132	64139
79	64135	2	64137	64144
80	64133	4	64137	64145
81	64133	0	64133	64139
82	64135	3	64138	64146
83	64136	0	64136	64144
84	64130	2	64132	64142
85	64137	0	64137	64145
86	64137	1	64138	64145
87	64133	0	64133	64141
88	64136	5	64141	64149
89	64136	0	64136	64143
90	64133	1	64134	64143
91	64138	0	64138	64147
92	64132	1	64133	64140
93	64138	0	64138	64146
94	64134	2	64136	64145
95	64129	3	64132	64140
96	64135	2	64137	64145
97	64135	2	64137	64143
98	64129	2	64131	64139
99	64132	3	64135	64143
100	64136	1	64137	64146
101	64130	1	64131	64137
102	64137	2	64139	64146
103	64136	1	64137	64145
104	64132	0	64132	64140
105	64137	1	64138	64144
106	64140	0	64140	64146
107	64128	3	64131	64138
108	64135	2	64137	64144
109	64140	0	64140	64146
110	64130	1	64131	64139
111	64138	1	64139	64145
112	64136	2	64138	64145
113	64132	1	64133	64139
114	64136	2	64138	64144
115	64136	1	64137	64146
116	64128	3	64131	64139
117	64135	3	64138	64144
118	64134	3	64137	64144
119	64129	2	64131	64139
120	64136	2	64138	64146
121	64139	0	64139	64144
122	64131	2	64133	64142
123	64136	2	64138	64145
124	64135	0	64135	64144
125	64134	2	64136	64143
126	64136	2	64138	64146
127	64131	2	64133	64140
128	64135	1	64136	64143
129	64135	2	64137	64146
130	64130	1	64131	64138
131	64138	0	64138	64145
132	64136	0	64136	64144
133	64131	2	64133	64141
134	64137	1	64138	64144
135	64138	1	64139	64145
136	64126	4	64130	64138
137	64135	2	64137	64146
138	64134	4	64138	64145
139	64130	1	64131	64137
140	64136	2	64138	64146
141	64137	0	64137	64144
142	64133	2	64135	64142
143	64138	0	64138	64145
144	64137	5	64142	64150
145	64127	1	64128	64138
146	64135	2	64137	64147
147	64135	2	64137	64143
