ITERNUM	PT
1	513073
2	513063
3	513062
4	513071
5	513067
6	513069
7	513058
8	513067
9	513061
10	513062
11	513066
12	513063
13	513070
14	513054
15	513059
16	513067
17	513059
18	513063
19	513063
20	513068
21	513061
22	513070
23	513064
24	513062
25	513055
26	513063
27	513073
28	513070
29	513067
30	513064
