ITERNUM	PT
1	2052241
2	2052255
3	2052259
4	2052253
5	2052247
6	2052244
7	2052240
8	2052233
9	2052249
10	2052266
11	2052253
12	2052259
13	2052240
14	2052252
15	2052237
16	2052252
17	2052244
18	2052264
19	2052246
20	2052241
21	2052274
22	2052244
23	2052260
24	2052243
25	2052248
26	2052266
27	2052255
28	2052235
29	2052246
30	2052238
