ITERNUM	PT
1	1003
2	1003
3	1002
4	1004
5	1002
6	999
7	1003
8	1003
9	1003
10	1002
11	1003
12	1002
13	1003
14	1003
15	1002
16	1003
17	1002
18	1004
19	1003
20	1001
21	1002
22	1003
23	1002
24	1003
25	1003
26	1003
27	1002
28	1002
29	1002
30	1003
