ITERNUM	PT
1	1999
2	2005
3	2005
4	2005
5	2002
6	2005
7	2005
8	2004
9	2005
10	2004
11	2005
12	2005
13	2005
14	2005
15	2006
16	2005
17	2000
18	2005
19	2005
20	2005
21	2005
22	2005
23	2005
24	2005
25	2006
26	2005
27	2002
28	2005
29	2005
30	2006
