ITERNUM	PT
1	32063
2	32064
3	32064
4	32064
5	32064
6	32065
7	32065
8	32065
9	32065
10	32065
11	32065
12	32065
13	32065
14	32065
15	32066
16	32067
17	32069
18	32069
19	32069
20	32070
21	32070
22	32070
23	32070
24	32070
25	32071
26	32071
27	32071
28	32071
29	32072
30	32072
