ITERNUM	PT
1	8021
2	8014
3	8015
4	8020
5	8021
6	8020
7	8021
8	8019
9	8018
10	8015
11	8020
12	8020
13	8015
14	8015
15	8014
16	8021
17	8020
18	8013
19	8018
20	8015
21	8021
22	8020
23	8015
24	8020
25	8018
26	8019
27	8020
28	8020
29	8020
30	8014
