ITERNUM	PT
1	8208990
2	8208993
3	8208994
4	8208981
5	8208952
6	8208954
7	8208987
8	8208987
9	8209020
10	8208971
11	8209016
12	8208966
13	8208980
14	8208965
15	8208991
16	8209006
17	8208983
18	8209014
19	8208964
20	8208987
21	8209008
22	8208995
23	8209001
24	8208981
25	8208969
26	8209005
27	8208985
28	8209007
29	8208974
30	8208995
