ITERNUM	PT
1	128266
2	128261
3	128273
4	128263
5	128265
6	128261
7	128269
8	128262
9	128266
10	128268
11	128269
12	128270
13	128272
14	128270
15	128274
16	128267
17	128264
18	128269
19	128275
20	128271
21	128262
22	128270
23	128270
24	128268
25	128269
26	128268
27	128262
28	128263
29	128269
30	128270
