ITERNUM	PT
1	4009
2	4010
3	4010
4	4003
5	4009
6	4010
7	4004
8	4010
9	4009
10	4009
11	4005
12	4011
13	4010
14	4009
15	4010
16	4010
17	4011
18	4010
19	4009
20	4009
21	4009
22	4010
23	4010
24	4008
25	4009
26	4007
27	4010
28	4004
29	4003
30	4010
