#INC   SAMPS OFFSET    MEAN        SD        MEAN1       MEAN2       SD1         SD2        SCALE1      SCALE2  STRONGER
68      1000  135    7.600000   3.034338   4.187619    9.767569    1.442379    1.339499    0.388166    0.611834    R
69      1000  137    7.687000   3.109775   4.345274   10.064935    1.229033    1.185567    0.418798    0.581202    R
70      1000  140    6.984000   3.259197   3.877497    9.671115    1.362535    1.292195    0.474142    0.525858    R
71      1000  144    6.030060   3.143045   3.219064    9.061884    1.150544    1.144808    0.517703    0.482297    L
72      1000  149    5.854709   2.744546   4.341654    9.668891    1.103535    1.448509    0.716018    0.283982    L
74      1000  148    7.277277   2.885628   5.557014   10.921591    1.377532    1.358415    0.677532    0.322468    L
76      1000  154    6.596597   2.721625   5.397714   10.812735    1.438088    1.283178    0.778568    0.221432    L
78      1000  159    4.572573   2.133916   3.972306    8.933150    1.314609    1.298928    0.884543    0.115457    L
80      1000  163    7.825000   2.337057   3.192099    8.531618    1.193568    1.159560    0.142926    0.857074    R
82      1000  165    6.852000   2.039671   4.756854    7.417351    2.579836    1.192284    0.230705    0.769295    R
84      1000  166    9.810000   2.770483   5.683933   10.964586    1.315075    1.620935    0.221924    0.778076    R
86      1000  172    7.838839   3.060684   3.582533    9.468176    1.374670    1.469975    0.278470    0.721530    R
88      1000  181    6.678000   3.085099   4.276363    9.790804    1.316084    1.296492    0.565497    0.434503    L
92      1000  185    6.952953   3.040605   4.878745   10.096079    1.495442    1.740951    0.600337    0.399663    L
96      1000  197    8.181181   2.092119   7.155005    9.135520    1.162612    1.597862    0.474999    0.525001    R
100     1000  202    7.077077   2.388824   5.554290    7.791937    1.819176    1.504377    0.373907    0.626093    R
104     1000  214    8.359719   3.074772   5.075558   10.506794    1.495368    1.527173    0.397448    0.602552    R
108     1000  216   10.245245   3.116141   7.153388   12.122045    1.411116    1.988533    0.372047    0.627953    R
112     1000  235    5.079079   2.533296   4.007094    8.820191    1.417218    1.713547    0.779798    0.220202    L
120     1000  248    8.231231   3.008269   3.700818    9.349526    1.323315    1.820622    0.208255    0.791745    R
128      300  265    6.883333   3.159588   4.749560   10.342620    1.264973    1.820429    0.618133    0.381867    L
160     1000  332    9.933000   3.920189   5.522256   11.100028    2.101617    3.323031    0.204462    0.795538    R
192     1000  398   11.173000   3.826972   8.751212   12.251265    2.107903    3.556470    0.308707    0.691293    R
224     1000  465   11.652000   4.010109   8.764352   12.233819    1.676314    4.025385    0.186086    0.813914    R
256      300  534   10.705686   4.374307   4.314636   11.204728    1.493799    4.016972    0.079913    0.920087    R
512      300 1076    9.681208   4.301247   2.847790    9.770204    0.121824    4.100000    0.022058    0.977942    R
1024     300 2150   14.923333   6.354425   8.928489   15.109260    0.301989    6.047915    0.072247    0.927753    R
2048     300 4244   27.613333   9.400268  18.650088   28.955582    0.626412    7.935082    0.140618    0.859382    R
4096     300 7966   27.886667  12.354863   7.605877   28.956277    0.713018   11.563601    0.053650    0.946350    R
