DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
oracle	285	7	100000	310000	100000	4292327881861226330	SELECT STATEMENT	0	4337
oracle	285	7	100000	310000	110000	4292327881861226330	SELECT STATEMENT	0	4416
oracle	285	7	100000	310000	120000	4292327881861226330	SELECT STATEMENT	0	4494
oracle	285	7	100000	310000	130000	4292327881861226330	SELECT STATEMENT	0	4572
oracle	285	7	100000	310000	140000	4292327881861226330	SELECT STATEMENT	0	4650
oracle	285	7	100000	310000	150000	4292327881861226330	SELECT STATEMENT	0	4729
oracle	285	7	100000	310000	160000	4292327881861226330	SELECT STATEMENT	0	4808
oracle	285	7	100000	310000	170000	4292327881861226330	SELECT STATEMENT	0	4886
oracle	285	7	100000	310000	180000	4292327881861226330	SELECT STATEMENT	0	4965
oracle	285	7	100000	310000	190000	4292327881861226330	SELECT STATEMENT	0	5044
oracle	285	7	100000	310000	200000	4292327881861226330	SELECT STATEMENT	0	5125
oracle	285	7	100000	310000	210000	4292327881861226330	SELECT STATEMENT	0	5206
oracle	285	7	100000	310000	220000	4292327881861226330	SELECT STATEMENT	0	5284
oracle	285	7	100000	310000	230000	4292327881861226330	SELECT STATEMENT	0	5363
oracle	285	7	100000	310000	240000	4292327881861226330	SELECT STATEMENT	0	5446
oracle	285	7	100000	310000	250000	4292327881861226330	SELECT STATEMENT	0	5525
oracle	285	7	100000	310000	260000	4292327881861226330	SELECT STATEMENT	0	5605
oracle	285	7	100000	310000	270000	4292327881861226330	SELECT STATEMENT	0	5687
oracle	285	7	100000	310000	280000	4292327881861226330	SELECT STATEMENT	0	5767
oracle	285	7	100000	310000	290000	4292327881861226330	SELECT STATEMENT	0	5848
oracle	285	7	100000	310000	300000	4292327881861226330	SELECT STATEMENT	0	5930
oracle	285	7	100000	310000	310000	4292327881861226330	SELECT STATEMENT	0	6010
oracle	285	7	100000	310000	100000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	110000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	120000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	130000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	140000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	150000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	160000	4292327881861226330	SORT	1	-1
oracle	285	7	100000	310000	170000	4292327881861226330	SORT	1	-1
