DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	PLANID	OPORDER	OPNAME	SLOPE	RSQR
pgsql	418	7	90000	240000	711344309423200256	0	Hash Join	1.695	0.975
pgsql	418	7	90000	240000	711344309423200256	1	Seq Scan	 	 
pgsql	418	7	90000	240000	711344309423200256	3	Hash	4.281	0.835
pgsql	418	7	90000	240000	711344309423200256	4	Hash Join	4.281	0.835
pgsql	418	7	90000	240000	711344309423200256	5	Seq Scan	 	 
pgsql	418	7	90000	240000	711344309423200256	7	Hash	10.021	0.975
pgsql	418	7	90000	240000	711344309423200256	8	Hash Join	10.021	0.975
pgsql	418	7	90000	240000	711344309423200256	9	Seq Scan	64.898	1
pgsql	418	7	90000	240000	711344309423200256	11	Hash	64.898	1
pgsql	418	7	90000	240000	711344309423200256	12	Seq Scan	64.898	1
pgsql	418	7	250000	540000	-7910051326560123616	0	Hash Join	0.94	0.985
pgsql	418	7	250000	540000	-7910051326560123616	1	Hash Join	3.872	0.924
pgsql	418	7	250000	540000	-7910051326560123616	2	Seq Scan	 	 
pgsql	418	7	250000	540000	-7910051326560123616	4	Hash	8.276	0.94
pgsql	418	7	250000	540000	-7910051326560123616	5	Hash Join	8.276	0.94
pgsql	418	7	250000	540000	-7910051326560123616	6	Seq Scan	64.914	1
pgsql	418	7	250000	540000	-7910051326560123616	8	Hash	64.914	1
pgsql	418	7	250000	540000	-7910051326560123616	9	Seq Scan	64.914	1
pgsql	418	7	250000	540000	-7910051326560123616	11	Hash	 	 
pgsql	418	7	250000	540000	-7910051326560123616	12	Seq Scan	 	 
pgsql	418	7	630000	820000	-4962907445398914364	0	Merge Join	2.66	1
pgsql	418	7	630000	820000	-4962907445398914364	1	Merge Join	2.985	1
pgsql	418	7	630000	820000	-4962907445398914364	2	Merge Join	3.043	1
pgsql	418	7	630000	820000	-4962907445398914364	3	Sort	6.676	1
pgsql	418	7	630000	820000	-4962907445398914364	4	Seq Scan	64.905	1
pgsql	418	7	630000	820000	-4962907445398914364	6	Sort	6.676	1
pgsql	418	7	630000	820000	-4962907445398914364	7	Seq Scan	64.905	1
pgsql	418	7	630000	820000	-4962907445398914364	9	Sort	 	 
pgsql	418	7	630000	820000	-4962907445398914364	10	Seq Scan	 	 
pgsql	418	7	630000	820000	-4962907445398914364	12	Sort	 	 
pgsql	418	7	630000	820000	-4962907445398914364	13	Seq Scan	 	 
pgsql	418	7	940000	1160000	9203335206099014144	0	Hash Join	1.475	0.969
pgsql	418	7	940000	1160000	9203335206099014144	1	Seq Scan	 	 
pgsql	418	7	940000	1160000	9203335206099014144	3	Hash	2.235	0.926
pgsql	418	7	940000	1160000	9203335206099014144	4	Hash Join	2.235	0.926
pgsql	418	7	940000	1160000	9203335206099014144	5	Seq Scan	 	 
pgsql	418	7	940000	1160000	9203335206099014144	7	Hash	3.702	0.931
pgsql	418	7	940000	1160000	9203335206099014144	8	Hash Join	3.702	0.931
pgsql	418	7	940000	1160000	9203335206099014144	9	Seq Scan	64.916	1
pgsql	418	7	940000	1160000	9203335206099014144	11	Hash	64.916	1
pgsql	418	7	940000	1160000	9203335206099014144	12	Seq Scan	64.916	1
pgsql	418	7	1380000	1470000	-7781890954971468828	0	Merge Join	2.64	1
pgsql	418	7	1380000	1470000	-7781890954971468828	1	Merge Join	 	 
pgsql	418	7	1380000	1470000	-7781890954971468828	2	Sort	 	 
pgsql	418	7	1380000	1470000	-7781890954971468828	3	Seq Scan	 	 
pgsql	418	7	1380000	1470000	-7781890954971468828	5	Sort	 	 
pgsql	418	7	1380000	1470000	-7781890954971468828	6	Seq Scan	 	 
pgsql	418	7	1380000	1470000	-7781890954971468828	8	Merge Join	2.847	1
pgsql	418	7	1380000	1470000	-7781890954971468828	9	Sort	6.464	1
pgsql	418	7	1380000	1470000	-7781890954971468828	10	Seq Scan	64.935	1
pgsql	418	7	1380000	1470000	-7781890954971468828	12	Sort	6.464	1
pgsql	418	7	1380000	1470000	-7781890954971468828	13	Seq Scan	64.935	1
pgsql	418	7	1490000	1580000	-7781890954971468828	0	Merge Join	2.679	0.998
