ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	17228	17226	17430	2	204	4	94
2	17229	17227	17427	2	200	4	94
3	17227	17225	17425	2	200	4	94
4	17219	17216	17419	3	203	5	94
5	17228	17225	17429	3	204	5	94
6	17228	17226	17430	2	204	4	94
7	17226	17225	17426	1	201	3	94
8	17229	17227	17427	2	200	4	94
9	17218	17217	17419	1	202	4	94
10	17228	17226	17430	2	204	4	94
11	17227	17226	17427	1	201	3	94
12	17230	17228	17428	2	200	4	94
13	17225	17221	17422	4	201	5	94
14	17225	17223	17425	2	202	4	94
15	17227	17225	17424	2	199	3	94
16	17226	17225	17428	1	203	3	94
17	17228	17226	17430	2	204	4	94
18	17218	17216	17418	2	202	4	94
19	17229	17226	17429	3	203	5	94
20	17227	17225	17426	2	201	3	94
21	17228	17225	17426	3	201	5	94
22	17225	17223	17424	2	201	5	94
23	17216	17213	17414	3	201	5	94
24	17227	17226	17425	1	199	3	94
25	17229	17226	17427	3	201	5	94
26	17229	17226	17427	3	201	5	94
27	17219	17216	17417	3	201	5	94
28	17226	17226	17425	0	199	3	94
29	17228	17227	17427	1	200	4	94
30	17229	17227	17428	2	201	4	94
31	17229	17227	17429	2	202	4	94
32	17213	17213	17414	0	201	3	94
33	17228	17226	17426	2	200	4	94
34	17230	17227	17430	3	203	5	94
35	17229	17227	17429	2	202	4	94
36	17223	17221	17421	2	200	4	94
37	17224	17221	17424	3	203	5	94
38	17228	17226	17430	2	204	4	94
39	17229	17226	17428	3	202	4	94
40	17227	17225	17428	2	203	3	94
