ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	4411292	4410736	4411451	555	715	10	95
2	4411267	4410709	4411422	557	713	9	95
3	4411424	4410715	4411574	708	859	14	98
4	4411294	4410716	4411445	577	729	12	95
5	4411273	4410700	4411418	572	718	10	95
6	4411630	4410763	4411767	866	1004	21	115
7	4411276	4410701	4411425	574	724	10	95
8	4411285	4410725	4411439	559	714	10	95
9	4411261	4410702	4411409	558	707	10	95
10	4411413	4410717	4411560	695	843	11	96
11	4411279	4410702	4411429	576	727	9	95
12	4411280	4410703	4411426	576	723	10	95
13	4411433	4410734	4411574	698	840	10	96
14	4411275	4410688	4411423	586	735	11	95
15	4411258	4410689	4411414	568	725	10	95
16	4411407	4410695	4411545	711	850	12	96
17	4411310	4410745	4411467	564	722	11	95
18	4411291	4410709	4411438	581	729	10	95
19	4411426	4410733	4411578	692	845	11	96
20	4411283	4410719	4411430	563	711	10	95
21	4411285	4410701	4411431	583	730	10	95
22	4411281	4410714	4411426	566	712	11	95
23	4411409	4410731	4411565	677	834	14	98
24	4411268	4410692	4411410	575	718	10	95
25	4411301	4410724	4411444	576	720	10	95
26	4411637	4410772	4411790	864	1018	20	115
27	4411301	4410731	4411452	569	721	10	95
28	4411287	4410727	4411442	559	715	10	95
29	4411414	4410726	4411570	687	844	11	96
30	4411294	4410738	4411449	555	711	10	95
31	4411292	4410718	4411442	573	724	10	95
32	4411299	4410733	4411449	565	716	10	95
33	4411421	4410735	4411576	685	841	12	96
34	4411289	4410720	4411441	568	721	11	95
35	4411276	4410698	4411415	577	717	8	95
36	4411395	4410680	4411534	714	854	12	96
37	4411300	4410721	116486	4295546	733	11	95
38	4411310	4410727	4411468	582	741	10	95
39	4411427	4410749	4411586	677	837	11	96
40	4411295	4410728	4411436	566	708	10	95
