ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	275634	275603	275838	31	235	6	95
2	275487	275455	275693	32	238	8	95
3	275118	275087	275321	31	234	7	95
4	275116	275085	275318	31	233	6	95
5	275119	275088	275324	31	236	7	95
6	275115	275084	275321	31	237	7	95
7	275124	275093	275328	31	235	7	95
8	275117	275086	275321	31	235	6	95
9	275121	275093	275323	28	230	6	95
10	275124	275092	275329	32	237	7	95
11	275117	275085	275320	32	235	6	95
12	275127	275094	275330	33	236	8	95
13	275125	275095	275329	30	234	7	95
14	275122	275089	275323	33	234	6	95
15	275116	275084	275318	32	234	6	95
16	275125	275093	275329	32	236	6	95
17	275126	275093	275332	33	239	7	95
18	275113	275081	275319	32	238	7	95
19	275118	275089	275325	29	236	8	95
20	275114	275085	275317	29	232	7	95
21	275124	275089	275326	35	237	7	95
22	275123	275090	275325	33	235	6	95
23	275115	275083	275319	32	236	7	95
24	275117	275088	275320	29	232	7	95
25	275127	275093	275332	34	239	8	95
26	275115	275083	275321	32	238	8	95
27	275125	275092	275326	33	234	7	95
28	275243	275092	275446	151	354	7	97
29	275126	275096	275329	30	233	8	95
30	275125	275093	275328	32	235	7	95
31	275131	275089	275334	42	245	10	97
32	275121	275090	275326	31	236	6	95
33	275112	275083	275315	29	232	6	95
34	275123	275092	275326	31	234	7	95
35	275114	275086	275317	28	231	6	95
36	275125	275093	275329	32	236	6	95
37	275124	275090	275328	34	238	7	95
38	275113	275081	275315	32	234	7	95
39	275124	275091	275325	33	234	7	95
40	275117	275086	275318	31	232	7	95
