# Note: units are msec; all means are relative to 1002.1*INC.
# Normal-fit columns are MEAN,SD,DISCN.  ("DISC" means discrepancy, i.e. negative goodness of fit)
# Binormal-fit columns are MEAN1,MEAN2,M2-M1,SD1,SD2,SCALE1,SCALE2,STRONG,DISCB.
#INC   DATE      MEAN       MEAN1   MEAN2    M2-M1     SD       SD1     SD2       SCALE1  SCALE2 STRONG DISCN  DISCB
21.5   11-Mar-19  0.10501  -0.13522  0.49615 0.63137   1.12828  1.04972 0.74118   0.64083 0.35917  L   0.04996 0.03848
21.625 12-Mar-19  0.12253  -0.37992  0.51006 0.88999   1.02954  1.15514 0.42154   0.49002 0.50998  R   0.05563 0.02563
21.75  12-Mar-19 -0.00036  -1.01633  0.41635 1.43269   1.01962  0.99122 0.59702   0.28017 0.71982  R   0.06285 0.04040
21.875 12-Mar-19  0.04312  -3.67493  0.33446 4.0094    1.22191  1.77983 0.74276   0.12099 0.87900  R   0.06728 0.00374
22     04-Dec-18  0.32201  -4.10392  0.57753 4.68146   1.24155  1.37504 0.69389   0.14145 0.85855  R   0.09505 0.01209
23     04-Dec-18 -0.11108  -4.29775  0.50943 4.80718   1.63202  1.06367 0.83005   0.16636 0.83363  R   0.09759 0.00545
24     04-Dec-18  0.78859  -3.40044  2.01834 5.41878   2.50878  1.18037 0.90923   0.23777 0.76222  R   0.13928 0.00492
25     24-Oct-18 -0.34018  -4.58458  1.04266 5.62724   2.59351  1.07504 0.87755   0.24627 0.75372  R   0.13963 0.00660
26     23-Feb-19 -0.481    -4.41168  1.36563 5.77731   2.81875  1.03305 0.91531   0.31689 0.68310  R   0.12533 0.01093
27     23-Feb-19 -0.41689  -4.28831  1.56411 5.85242   2.90680  1.04867 0.88122   0.33183 0.66816  R   0.15237 0.01734
28     23-Feb-19 -0.596    -3.98150  1.78643 5.76793   2.93615  0.94703 0.63416   0.41557 0.58442  R   0.15967 0.01590
29     24-Feb-19 -0.70780  -4.03276  1.79036 5.82312   3.01858  0.74574 0.90272   0.43126 0.56873  R   0.13054 0.01556
30     24-Feb-19 -0.21978  -3.17524  2.55285 5.72809   3.05202  0.88938 0.91464   0.48100 0.51900  R   0.13033 0.01413
31     24-Feb-19  0.162    -2.63688  3.32566 5.96254   3.13993  0.83590 0.90463   0.53693 0.46306  R   0.15186 0.01476
32     03-Mar-17  1.17337  -0.61550  4.97748 5.59299   2.78050  0.91750 0.97133   0.68267 0.31732  L   0.12018 0.00738
48     08-Jun-17  1.68548  -0.51469  3.98573 4.50043   2.76565  1.55477 1.52398   0.50295 0.49704  L   0.03990 0.00581
50     25-Feb-19  0.00500  -3.02249  2.95333 5.97582   3.16813  1.07918 1.16209   0.49195 0.50804  R   0.11589 0.00895
52     26-Feb-19 -0.41321  -2.83466  2.95722 5.79188   3.08002  1.06402 1.17947   0.58244 0.41755  L   0.09250 0.01002
54     26-Feb-19 -0.622    -2.55107  3.26118 5.81225   2.98590  1.02435 1.26373   0.66864 0.33135  L   0.10194 0.00736
56     27-Feb-19 -1.04845  -2.27694  2.83017 5.10711   2.54165  1.09203 1.75248   0.75612 0.24387  L   0.08836 0.00694
58     28-Feb-19 -0.819    -1.74125  1.94946 3.69071   2.24090  0.91649 2.42010   0.74022 0.25977  L   0.06540 0.01190
60     28-Feb-19 -0.81982  -1.06508  0.36899 1.43407   1.25327  0.81772 1.57582   0.83792 0.16207  L   0.03706 0.00517
60.5   14-Apr-19 -0.84763  -0.90841 -0.80060 0.10780   1.18821  1.53568 0.96173   0.39077 0.60923  R   0.01197 0.00752
61     14-Apr-19 -1.069    -1.93429 -0.52016 1.41413   1.85408  1.66713 1.19499   0.45454 0.54545  R   0.03164 0.02136
61.5   14-Apr-19 -0.92410  -1.57017 -0.49781 1.07236   1.45633  1.39398 1.24751   0.42808 0.57192  R   0.02030 0.01904
62     01-Mar-19 -0.51914  -2.00408  0.08906 2.09315   1.35652  1.55588 1.02947   0.32937 0.67062  R   0.02898 0.01927
62.5   14-Apr-19 -0.27902  -1.3267   0.31699 1.6437    1.38710  1.81287 0.92303   0.33197 0.66802  R   0.03834 0.01797
