DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	PLANID	OPORDER	OPNAME	SLOPE	RSQR
db2	269	8	10000	860000	3320165310887712096	0	RETURN	30.401	1
db2	269	8	10000	860000	3320165310887712096	1	GRPBY	30.406	1
db2	269	8	10000	860000	3320165310887712096	2	TBSCAN	30.409	1
db2	269	8	10000	860000	3320165310887712096	3	SORT	30.412	1
db2	269	8	10000	860000	3320165310887712096	4	GRPBY	30.487	1
db2	269	8	10000	860000	3320165310887712096	5	HSJOIN	30.662	1
db2	269	8	10000	860000	3320165310887712096	6	TBSCAN	 	 
db2	269	8	10000	860000	3320165310887712096	7	HSJOIN	30.785	1
db2	269	8	10000	860000	3320165310887712096	8	HSJOIN	46.303	1
db2	269	8	10000	860000	3320165310887712096	9	TBSCAN	93.344	1
db2	269	8	10000	860000	3320165310887712096	10	TBSCAN	93.344	1
db2	269	8	10000	860000	3320165310887712096	11	TBSCAN	93.344	1
db2	269	8	870000	990000	-8627475208081102496	0	RETURN	30.61	1
db2	269	8	870000	990000	-8627475208081102496	1	GRPBY	30.616	1
db2	269	8	870000	990000	-8627475208081102496	2	TBSCAN	30.613	1
db2	269	8	870000	990000	-8627475208081102496	3	SORT	30.612	1
db2	269	8	870000	990000	-8627475208081102496	4	GRPBY	30.632	1
db2	269	8	870000	990000	-8627475208081102496	5	HSJOIN	30.673	1
db2	269	8	870000	990000	-8627475208081102496	6	HSJOIN	30.772	1
db2	269	8	870000	990000	-8627475208081102496	7	HSJOIN	46.288	1
db2	269	8	870000	990000	-8627475208081102496	8	TBSCAN	93.321	1
db2	269	8	870000	990000	-8627475208081102496	9	TBSCAN	93.321	1
db2	269	8	870000	990000	-8627475208081102496	10	TBSCAN	93.321	1
db2	269	8	870000	990000	-8627475208081102496	11	TBSCAN	 	 
db2	269	8	1010000	1350000	-5474536658558608032	0	RETURN	30.688	1
db2	269	8	1010000	1350000	-5474536658558608032	1	GRPBY	30.693	1
db2	269	8	1010000	1350000	-5474536658558608032	2	TBSCAN	30.695	1
db2	269	8	1010000	1350000	-5474536658558608032	3	SORT	30.698	1
db2	269	8	1010000	1350000	-5474536658558608032	4	GRPBY	30.736	1
db2	269	8	1010000	1350000	-5474536658558608032	5	HSJOIN	30.832	1
db2	269	8	1010000	1350000	-5474536658558608032	6	HSJOIN	46.267	1
db2	269	8	1010000	1350000	-5474536658558608032	7	HSJOIN	92.624	1
db2	269	8	1010000	1350000	-5474536658558608032	8	TBSCAN	 	 
db2	269	8	1010000	1350000	-5474536658558608032	9	TBSCAN	93.344	1
db2	269	8	1010000	1350000	-5474536658558608032	10	TBSCAN	93.344	1
db2	269	8	1010000	1350000	-5474536658558608032	11	TBSCAN	93.344	1
db2	269	8	1360000	1430000	6810175227449382240	0	RETURN	30.459	1
db2	269	8	1360000	1430000	6810175227449382240	1	GRPBY	30.473	1
db2	269	8	1360000	1430000	6810175227449382240	2	TBSCAN	30.484	1
db2	269	8	1360000	1430000	6810175227449382240	3	SORT	30.497	1
db2	269	8	1360000	1430000	6810175227449382240	4	GRPBY	30.57	1
db2	269	8	1360000	1430000	6810175227449382240	5	HSJOIN	30.923	1
db2	269	8	1360000	1430000	6810175227449382240	6	TBSCAN	93.62	1
db2	269	8	1360000	1430000	6810175227449382240	7	HSJOIN	46.442	1
db2	269	8	1360000	1430000	6810175227449382240	8	HSJOIN	92.957	1
db2	269	8	1360000	1430000	6810175227449382240	9	TBSCAN	 	 
db2	269	8	1360000	1430000	6810175227449382240	10	TBSCAN	93.62	1
db2	269	8	1360000	1430000	6810175227449382240	11	TBSCAN	93.62	1
db2	269	8	1480000	2000000	-8327872479755526816	0	RETURN	30.248	1
db2	269	8	1480000	2000000	-8327872479755526816	1	GRPBY	30.263	1
db2	269	8	1480000	2000000	-8327872479755526816	2	TBSCAN	30.272	1
db2	269	8	1480000	2000000	-8327872479755526816	3	SORT	30.28	1
db2	269	8	1480000	2000000	-8327872479755526816	4	GRPBY	30.479	1
db2	269	8	1480000	2000000	-8327872479755526816	5	HSJOIN	30.827	1
db2	269	8	1480000	2000000	-8327872479755526816	6	HSJOIN	46.316	1
db2	269	8	1480000	2000000	-8327872479755526816	7	TBSCAN	93.344	1
db2	269	8	1480000	2000000	-8327872479755526816	8	HSJOIN	92.618	1
db2	269	8	1480000	2000000	-8327872479755526816	9	TBSCAN	 	 
db2	269	8	1480000	2000000	-8327872479755526816	10	TBSCAN	93.344	1
db2	269	8	1480000	2000000	-8327872479755526816	11	TBSCAN	93.344	1
