*readMe
- [LOW_CARD, HIGH_CARD]: a range with the unique plan
- CURR_CARD: a cardinality in a range 

DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
db2	252	7	50000	200000	140000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	150000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	160000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	170000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	180000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	190000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	200000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	50000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	60000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	70000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	80000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	90000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	100000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	110000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	120000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	130000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	140000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	150000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	160000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	170000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	180000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	190000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	200000	-7734868676949578016	GRPBY	5	11016
db2	252	7	50000	200000	50000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	60000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	70000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	80000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	90000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	100000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	110000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	120000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	130000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	140000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	150000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	160000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	170000	-7734868676949578016	TBSCAN	6	10717
