"NUM"	"PRTIME"
1	2005
2	2005
3	2006
4	2005
5	2005
6	2003
7	2003
8	2005
9	2005
10	2005
11	2006
12	2005
13	2005
14	2004
15	2002
16	2005
17	2005
18	2005
19	2006
20	2005
21	2005
22	2005
23	2000
24	2005
25	2005
26	2005
27	2005
28	2006
29	2005
30	2004
31	1999
32	2005
33	2005
34	2005
35	2005
36	2005
37	2005
38	2005
39	1998
40	2006
41	2005
42	2005
43	2005
44	2006
45	2005
46	2005
47	1999
48	2006
49	2005
50	2005
51	2005
52	2005
53	2005
54	2005
55	1999
56	2005
57	2006
58	2005
59	2005
60	2005
61	2006
62	2005
63	2000
64	2005
65	2006
66	2005
67	2005
68	2005
69	2006
70	2004
71	2001
72	2005
73	2006
74	2005
75	2005
76	2006
77	2007
78	2005
79	2002
80	2004
81	2006
82	2005
83	2005
84	2005
85	2004
86	2005
87	2002
88	2004
89	2005
90	2007
91	2005
92	2005
93	2005
94	2006
95	2003
96	2002
97	2005
98	2006
99	2005
100	2005
101	2005
102	2007
103	2003
104	2002
105	2005
106	2006
107	2005
108	2005
109	2005
110	2006
111	2005
112	2001
113	2005
114	2005
115	2005
116	2005
117	2005
118	2005
119	2006
120	1999
121	2004
122	2005
123	2006
124	2005
125	2005
126	2005
127	2007
128	1999
129	2004
130	2004
131	2006
132	2005
133	2005
134	2005
135	2006
136	1999
137	2005
138	2005
139	2006
140	2005
141	2005
142	2005
143	2005
144	2000
145	2005
146	2005
147	2005
148	2005
149	2005
150	2005
151	2005
152	2002
153	2005
154	2005
155	2005
156	2006
157	2005
158	2005
159	2005
160	2003
161	2004
162	2005
163	2005
164	2006
165	2004
166	2005
167	2005
168	2003
169	2004
170	2005
171	2005
172	2005
173	2006
174	2005
175	2005
176	2003
177	2003
178	2005
179	2005
180	2005
181	2006
182	2005
183	2005
184	2004
185	2002
186	2005
187	2005
188	2005
189	2006
190	2005
191	2005
192	2005
193	2001
194	2006
195	2005
196	2005
197	2005
198	2005
199	2005
200	2005
201	1998
202	2006
203	2005
204	2005
205	2005
206	2006
207	2005
208	2005
209	1999
210	2006
211	2005
212	2005
213	2005
214	2006
215	2005
216	2005
217	1999
218	2006
219	2005
220	2005
221	2005
222	2006
223	2005
224	2004
225	2000
226	2005
227	2005
228	2005
229	2005
230	2005
231	2006
232	2005
233	2000
234	2005
235	2006
236	2005
237	2004
238	2005
239	2006
240	2005
241	2001
242	2005
243	2006
244	2005
245	2005
246	2005
247	2006
248	2005
249	2002
250	2003
251	2006
252	2005
253	2005
254	2005
255	2005
256	2005
257	2002
258	2003
259	2005
