ITERNUM	PT
1	64133
2	64136
3	64128
4	64134
5	64137
6	64134
7	64132
8	64135
9	64136
10	64136
11	64133
12	64128
13	64131
14	64130
15	64129
16	64134
17	64137
18	64130
19	64134
20	64131
21	64136
22	64134
23	64130
24	64130
25	64136
26	64135
27	64137
28	64134
29	64133
30	64128
