ITERNUM	PT
1	1026134
2	1026137
3	1026134
4	1026129
5	1026120
6	1026132
7	1026124
8	1026120
9	1026118
10	1026131
11	1026130
12	1026124
13	1026134
14	1026130
15	1026121
16	1026138
17	1026120
18	1026127
19	1026130
20	1026127
21	1026125
22	1026135
23	1026125
24	1026124
25	1026115
26	1026117
27	1026133
28	1026129
29	1026130
30	1026125
