ITERNUM	PT
1	16033
2	16033
3	16032
4	16033
5	16034
6	16035
7	16033
8	16033
9	16033
10	16033
11	16033
12	16033
13	16033
14	16038
15	16038
16	16033
17	16032
18	16033
19	16034
20	16039
21	16035
22	16033
23	16032
24	16034
25	16033
26	16034
27	16032
28	16032
29	16034
30	16033
