ITERNUM	PT
1	256534
2	256531
3	256532
4	256533
5	256535
6	256529
7	256536
8	256535
9	256534
10	256530
11	256530
12	256537
13	256534
14	256532
15	256530
16	256533
17	256537
18	256538
19	256535
20	256530
21	256530
22	256540
23	256533
24	256538
25	256536
26	256530
27	256532
28	256532
29	256537
30	256530
