ITERNUM	PT
1	16418019
2	16418003
3	16417947
4	16418014
5	16417957
6	16418020
7	16417963
8	16417943
9	16417948
10	16417948
11	16418014
12	16417979
13	16417949
14	16417954
15	16417920
16	16417943
17	16417969
18	16418006
19	16417930
20	16418002
21	16417994
22	16417921
23	16417937
24	16417948
25	16418008
26	16417979
27	16417961
28	16418005
29	16417923
30	16417967
