"INC Number"	"Bin Number"	"Counts"
48	48095	6
48	48096	15
48	48097	35
48	48098	77
48	48099	113
48	48100	118
48	48101	110
48	48102	113
48	48103	109
48	48104	109
48	48105	112
48	48106	63
48	48107	15
48	48108	5
88	88177	1
88	88178	1
88	88179	3
88	88180	12
88	88181	48
88	88182	96
88	88183	104
88	88184	94
88	88185	65
88	88186	99
88	88187	116
88	88188	159
88	88189	116
88	88190	58
88	88191	16
88	88192	5
88	88193	3
88	88194	1
88	88195	1
88	88196	0
88	88197	0
88	88198	0
88	88199	0
88	88200	1
88	88201	0
88	88202	1
96	96193	1
96	96194	1
96	96195	5
96	96196	9
96	96197	24
96	96198	61
96	96199	72
96	96200	104
96	96201	116
96	96202	123
96	96203	117
96	96204	93
96	96205	99
96	96206	64
96	96207	51
96	96208	37
96	96209	17
96	96210	1
96	96211	1
96	96212	2
96	96213	0
96	96214	0
96	96215	0
96	96216	1
96	96217	0
96	96218	0
96	96219	0
96	96220	1
104	104211	2
104	104212	9
104	104213	12
104	104214	37
104	104215	46
104	104216	37
104	104217	48
104	104218	96
104	104219	164
104	104220	211
104	104221	183
104	104222	106
104	104223	33
104	104224	11
104	104225	1
104	104226	1
104	104227	1
104	104228	0
104	104229	0
104	104230	0
104	104231	0
104	104232	1
104	104233	0
104	104234	0
104	104235	0
104	104236	0
104	104237	0
104	104238	0
104	104239	0
104	104240	0
104	104241	0
104	104242	1
112	112228	2
112	112229	4
112	112230	17
112	112231	29
112	112232	56
112	112233	82
112	112234	134
112	112235	106
112	112236	86
112	112237	106
112	112238	82
112	112239	100
112	112240	86
112	112241	50
112	112242	35
112	112243	11
112	112244	4
112	112245	4
112	112246	3
112	112247	1
112	112248	0
112	112249	0
112	112250	0
112	112251	1
112	112252	0
112	112253	0
112	112254	0
112	112255	0
112	112256	0
112	112257	0
112	112258	0
112	112259	1
120	120246	3
120	120247	3
120	120248	14
120	120249	25
120	120250	78
120	120251	132
120	120252	213
120	120253	219
120	120254	138
120	120255	51
120	120256	29
120	120257	26
120	120258	35
120	120259	20
120	120260	3
120	120261	5
120	120262	3
120	120263	1
120	120264	0
120	120265	1
120	120266	0
120	120267	0
120	120268	0
120	120269	0
120	120270	0
120	120271	0
120	120272	0
120	120273	0
120	120274	0
120	120275	0
120	120276	0
120	120277	0
120	120278	0
120	120279	0
120	120280	0
120	120281	0
120	120282	0
120	120283	0
120	120284	0
120	120285	0
120	120286	0
120	120287	0
120	120288	0
120	120289	1
128	128263	4
128	128264	11
128	128265	17
128	128266	25
128	128267	21
128	128268	21
128	128269	34
128	128270	24
128	128271	42
128	128272	35
128	128273	29
128	128274	19
128	128275	10
128	128276	5
128	128277	0
128	128278	1
128	128279	0
128	128280	0
128	128281	0
128	128282	1
128	128283	0
128	128284	0
128	128285	0
128	128286	0
128	128287	0
128	128288	0
128	128289	0
128	128290	0
128	128291	0
128	128292	0
128	128293	0
128	128294	0
128	128295	1
256	256529	1
256	256530	1
256	256531	6
256	256532	5
256	256533	11
256	256534	10
256	256535	27
256	256536	21
256	256537	29
256	256538	26
256	256539	36
256	256540	25
256	256541	21
256	256542	26
256	256543	12
256	256544	13
256	256545	9
256	256546	4
256	256547	8
256	256548	6
256	256549	1
256	256550	1
256	256551	0
256	256552	0
256	256553	0
256	256554	1
512	513063	1
512	513064	1
512	513065	0
512	513066	0
512	513067	1
512	513068	7
512	513069	11
512	513070	6
512	513071	14
512	513072	18
512	513073	20
512	513074	21
512	513075	20
512	513076	34
512	513077	28
512	513078	22
512	513079	19
512	513080	17
512	513081	13
512	513082	11
512	513083	9
512	513084	4
512	513085	7
512	513086	3
512	513087	5
512	513088	5
512	513089	1
512	513090	1
512	513091	0
512	513092	0
512	513093	0
512	513094	1
1024	1026122	1
1024	1026123	0
1024	1026124	0
1024	1026125	1
1024	1026126	0
1024	1026127	2
1024	1026128	1
1024	1026129	3
1024	1026130	4
1024	1026131	3
1024	1026132	6
1024	1026133	5
1024	1026134	9
1024	1026135	9
1024	1026136	8
1024	1026137	17
1024	1026138	12
1024	1026139	19
1024	1026140	17
1024	1026141	21
1024	1026142	12
1024	1026143	17
1024	1026144	12
1024	1026145	18
1024	1026146	18
1024	1026147	12
1024	1026148	9
1024	1026149	8
1024	1026150	13
1024	1026151	8
1024	1026152	12
1024	1026153	5
1024	1026154	3
1024	1026155	3
1024	1026156	2
1024	1026157	0
1024	1026158	2
1024	1026159	0
1024	1026160	1
1024	1026161	1
1024	1026162	2
1024	1026163	0
1024	1026164	0
1024	1026165	2
1024	1026166	0
1024	1026167	0
1024	1026168	1
1024	1026169	1
