ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	RHS_PT	TOT_PT
27441	664	80168	4	4	2	0	10
27441	665	80172	4	4	0	0	8
27441	666	80168	4	4	1	0	9
27441	667	80168	4	4	1	0	9
27441	668	80171	4	4	0	0	8
27441	669	80170	4	4	1	0	9
27441	670	80171	4	4	1	0	9
27441	671	80173	4	4	0	0	8
27441	672	80171	4	4	1	0	9
27441	673	80172	4	4	1	0	9
27441	674	80171	4	4	1	0	9
27441	675	80170	4	4	1	0	9
27441	676	80168	4	4	2	0	10
27441	677	80167	4	4	2	0	10
27441	678	80168	4	4	1	0	9
27441	679	80168	4	4	1	0	9
27441	680	80168	4	4	1	0	9
27441	681	80167	4	4	2	0	10
27441	682	80169	4	4	1	0	9
27441	683	80167	4	4	2	0	10
27441	684	80169	4	4	2	0	10
27441	685	80169	4	4	1	0	9
27441	686	80168	4	4	1	0	9
27441	687	80170	4	4	0	0	8
27441	688	80167	4	4	3	0	11
27441	689	80167	4	4	2	0	10
27441	690	80168	4	4	1	0	9
27441	691	80170	4	4	0	0	8
27441	692	80169	4	4	1	0	9
27441	693	80169	4	4	0	0	8
27441	694	80169	4	4	0	0	8
27441	695	80168	4	4	2	0	10
27441	696	80170	4	4	0	0	8
27441	697	80168	4	4	1	0	9
27441	698	80169	4	4	1	0	9
27441	699	80170	4	4	1	0	9
27441	700	80168	4	4	1	0	9
27441	701	80170	4	4	0	0	8
27441	702	80170	4	4	1	0	9
27441	703	80170	4	4	0	0	8
27441	704	80168	4	4	1	0	9
27441	705	80169	4	4	1	0	9
27441	706	80170	4	4	0	0	8
27441	707	80168	4	4	1	0	9
27441	708	80170	4	4	4	0	12
27441	709	80170	4	4	1	0	9
27441	710	80169	4	4	1	0	9
27441	711	80168	4	4	1	0	9
27441	712	80169	4	4	1	0	9
27441	713	80171	4	4	1	0	9
27441	714	80170	4	4	1	0	9
27441	715	80169	4	4	1	0	9
27441	716	80171	4	4	1	0	9
27441	717	80169	4	4	1	0	9
27441	718	80168	4	4	1	0	9
27441	719	80169	4	4	1	0	9
27441	720	80166	4	4	1	0	9
27441	721	80167	4	4	1	0	9
27441	722	80168	4	4	2	0	10
27441	723	80170	4	4	0	0	8
27441	724	80168	4	4	2	0	10
27441	725	80168	4	4	1	0	9
27441	726	80168	4	4	2	0	10
27441	727	80169	4	4	1	0	9
27441	728	80169	4	4	2	0	10
27441	729	80168	4	4	2	0	10
27441	730	80167	4	4	3	0	11
27441	731	80166	4	4	3	0	11
27441	732	80169	4	5	1	0	10
27441	733	80169	4	4	1	0	9
27441	734	80170	4	4	1	0	9
27441	735	80169	4	4	1	0	9
27441	736	80170	4	4	0	0	8
27441	737	80165	4	4	1	0	9
27441	738	80166	4	4	3	0	11
27441	739	80169	4	4	1	0	9
27441	740	80169	4	4	1	0	9
27441	741	80168	4	4	1	0	9
27441	742	80168	4	4	2	0	10
27441	743	80171	4	4	0	0	8
27441	744	80169	4	4	1	0	9
27441	745	80170	4	4	1	0	9
27441	746	80168	4	4	2	0	10
27441	747	80168	4	4	1	0	9
27441	748	80171	4	4	0	0	8
27441	749	80169	4	4	2	0	10
27441	750	80169	5	4	2	0	11
27441	751	80169	4	4	0	0	8
27441	752	80168	4	4	1	0	9
27441	753	80169	4	4	1	0	9
27441	754	80172	4	4	1	0	9
27441	755	80168	4	4	0	0	8
27441	756	80168	4	4	1	0	9
27441	757	80169	4	4	1	0	9
27441	758	80169	4	4	1	0	9
27441	759	80169	4	4	1	0	9
27441	760	80171	4	4	0	0	8
27441	761	80169	4	4	0	0	8
27441	762	80170	4	4	1	0	9
27441	763	80168	4	4	1	0	9
27441	764	80169	4	4	1	0	9
27441	765	80169	4	4	1	0	9
27441	766	80168	4	4	1	0	9
27441	767	80168	4	4	1	0	9
27441	768	80169	4	5	1	0	10
27441	769	80169	4	4	0	0	8
27441	770	80167	4	4	1	0	9
27441	771	80171	4	4	1	0	9
27441	772	80171	4	4	3	0	11
27441	773	80170	4	4	2	0	10
27441	774	80168	4	4	1	0	9
27441	775	80181	4	4	0	114	235
27441	776	80169	4	4	0	0	8
27441	777	80167	4	4	2	0	10
27441	778	80170	4	4	2	0	10
27441	779	80168	4	4	2	0	10
27441	780	80168	4	4	0	0	8
27441	781	80168	4	4	0	0	8
27441	782	80169	4	4	1	0	9
27441	783	80169	4	4	0	0	8
27441	784	80169	4	4	0	0	8
27441	785	80168	4	4	1	0	9
27441	786	80168	4	4	1	0	9
27441	787	80170	4	4	0	0	8
27441	788	80169	4	4	1	0	9
27441	789	80173	4	4	1	0	9
27441	790	80174	4	4	0	0	8
27441	791	80168	4	4	1	0	9
27441	792	80168	4	4	1	0	9
27441	793	80169	4	4	1	0	9
27441	794	80170	4	4	1	0	9
27441	795	80169	4	4	1	0	9
27441	796	80169	4	4	1	0	9
27441	797	80167	4	4	2	0	10
27441	798	80166	4	4	3	0	11
27441	799	80169	4	4	2	0	10
27441	800	80169	4	4	0	0	8
27441	801	80167	4	4	2	0	10
