ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	TOT_PT
19300	280	80172	4	4	2	10
19300	281	80171	4	4	2	10
19300	282	80170	4	4	2	10
19300	283	80166	4	4	1	9
19300	284	80171	4	4	2	10
19300	285	80171	4	4	2	10
19300	286	80172	4	4	2	10
19300	287	80168	4	4	3	11
19300	288	80172	4	5	1	10
19300	289	80172	4	4	1	9
19300	290	80172	4	4	1	9
19300	291	80173	4	4	1	9
19300	292	80165	4	4	0	8
19300	293	80171	4	4	2	10
19300	294	80170	4	4	3	11
19300	295	80173	4	4	0	8
19300	296	80166	4	4	1	9
19300	297	80172	4	4	1	9
19300	298	80172	4	4	1	9
19300	299	80172	4	4	1	9
19300	300	80174	4	4	0	8
19300	301	80166	4	4	2	10
19300	302	80173	4	4	0	8
19300	303	80172	4	4	1	9
19300	304	80173	4	4	1	9
19300	305	80165	4	4	1	9
19300	306	80172	4	4	1	9
19300	307	80173	4	4	0	8
19300	308	80172	4	4	1	9
19300	309	80170	4	4	2	10
19300	310	80166	4	4	2	10
19300	311	80172	4	4	2	10
19300	312	80172	4	4	0	8
19300	313	80173	4	4	0	8
19300	314	80165	4	4	1	9
19300	315	80177	4	4	1	9
19300	316	80173	4	4	0	8
19300	317	80172	4	4	1	9
19300	318	80172	4	4	1	9
19300	319	80167	4	4	1	9
19300	320	80172	4	4	0	8
19300	321	80171	4	4	2	10
19300	322	80171	4	4	2	10
19300	323	80165	4	4	2	10
19300	324	80172	4	4	1	9
19300	325	80173	4	4	0	8
19300	326	80172	4	4	0	8
19300	327	80173	4	4	0	8
19300	328	80167	4	4	0	8
19300	329	80171	4	4	2	10
19300	330	80170	4	4	3	11
19300	331	80173	4	4	0	8
19300	332	80172	4	4	1	9
19300	333	80167	4	4	0	8
19300	334	80174	4	4	1	9
19300	335	80173	4	4	0	8
19300	336	80175	4	4	0	8
19300	337	80171	4	4	1	9
19300	338	80170	4	4	0	8
19300	339	80170	4	4	1	9
19300	340	80171	4	4	2	10
19300	341	80173	4	4	1	9
19300	342	80167	4	4	1	9
19300	343	80173	4	4	0	8
19300	344	80172	4	4	1	9
19300	345	80171	4	4	2	10
19300	346	80174	4	4	0	8
19300	347	80164	4	4	2	10
19300	348	80172	4	4	1	9
19300	349	80171	4	4	2	10
19300	350	80170	4	4	2	10
19300	351	80171	4	4	1	9
19300	352	80172	4	4	0	8
19300	353	80167	4	4	0	8
19300	354	80171	4	4	1	9
19300	355	80170	4	5	3	12
19300	356	80172	4	4	1	9
19300	357	80171	4	4	1	9
19300	358	80172	4	4	1	9
19300	359	80170	4	4	1	9
19300	360	80171	4	4	1	9
19300	361	80174	4	4	0	8
19300	362	80172	4	4	1	9
19300	363	80172	4	4	1	9
19300	364	80174	4	4	0	8
19300	365	80171	4	4	2	10
19300	366	80166	4	4	0	8
19300	367	80171	4	4	2	10
19300	368	80171	4	4	2	10
19300	369	80173	4	4	0	8
19300	370	80171	4	4	1	9
19300	371	80172	4	4	1	9
19300	372	80165	4	4	1	9
19300	373	80171	4	4	1	9
19300	374	80170	4	4	2	10
19300	375	80171	4	4	2	10
19300	376	80170	4	4	2	10
19300	377	80171	4	4	1	9
19300	378	80172	4	4	1	9
19300	379	80171	4	4	1	9
19300	380	80172	4	4	1	9
19300	381	80165	4	4	1	9
19300	382	80171	4	4	1	9
19300	383	80171	4	4	1	9
19300	384	80172	4	4	0	8
19300	385	80170	4	4	1	9
19300	386	80170	4	4	3	11
19300	387	80171	4	4	1	9
19300	388	80172	4	4	0	8
19300	389	80172	4	4	0	8
19300	390	80172	4	4	0	8
19300	391	80170	4	4	0	8
19300	392	80168	4	4	2	10
19300	393	80172	4	4	0	8
19300	394	80172	4	4	2	10
19300	395	80171	4	4	1	9
19300	396	80172	4	4	0	8
19300	397	80171	4	4	2	10
19300	398	80170	4	4	2	10
19300	399	80171	4	4	1	9
19300	400	80171	4	4	1	9
19300	401	80171	4	4	1	9
19300	402	80171	4	4	1	9
19300	403	80166	4	4	1	9
19300	404	80172	4	4	1	9
19300	405	80171	4	4	1	9
19300	406	80171	4	4	2	10
19300	407	80172	4	4	0	8
19300	408	80171	4	4	1	9
19300	409	80171	4	4	2	10
19300	410	80173	4	4	0	8
19300	411	80170	4	4	2	10
19300	412	80170	4	4	3	11
19300	413	80171	4	4	1	9
19300	414	80171	4	4	1	9
19300	415	80168	4	4	1	9
19300	416	80171	4	4	0	8
19300	417	80171	4	4	1	9
