ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	8	1	8022	8021
25461	8	2	8016	8014
25461	8	3	8015	8015
25461	8	4	8020	8020
25461	8	5	8022	8021
25461	8	6	8022	8020
25461	8	7	8022	8021
25461	8	8	8020	8019
25461	8	9	8020	8018
25461	8	10	8016	8015
25461	8	11	8022	8020
25461	8	12	8021	8020
25461	8	13	8016	8015
25461	8	14	8016	8015
25461	8	15	8016	8014
25461	8	16	8021	8021
25461	8	17	8021	8020
25461	8	18	8013	8013
25461	8	19	8020	8018
25461	8	20	8016	8015
25461	8	21	8022	8021
25461	8	22	8021	8020
25461	8	23	8014	8015
25461	8	24	8022	8020
25461	8	25	8020	8018
25461	8	26	8022	8019
25461	8	27	8022	8020
25461	8	28	8020	8020
25461	8	29	8020	8020
25461	8	30	8015	8014
