ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	128	1	128282	128266
25461	128	2	128277	128261
25461	128	3	128403	128273
25461	128	4	128279	128263
25461	128	5	128279	128265
25461	128	6	128277	128261
25461	128	7	128281	128269
25461	128	8	128278	128262
25461	128	9	128284	128266
25461	128	10	128285	128268
25461	128	11	128283	128269
25461	128	12	128285	128270
25461	128	13	128285	128272
25461	128	14	128285	128270
25461	128	15	128286	128274
25461	128	16	128278	128267
25461	128	17	128279	128264
25461	128	18	128283	128269
25461	128	19	128290	128275
25461	128	20	128285	128271
25461	128	21	128280	128262
25461	128	22	128285	128270
25461	128	23	128283	128270
25461	128	24	128282	128268
25461	128	25	128283	128269
25461	128	26	128282	128268
25461	128	27	128278	128262
25461	128	28	128278	128263
25461	128	29	128283	128269
25461	128	30	128285	128270
