ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	1024	1	1026366	1026134
25461	1024	2	1026251	1026137
25461	1024	3	1026251	1026134
25461	1024	4	1026245	1026129
25461	1024	5	1026242	1026120
25461	1024	6	1026242	1026132
25461	1024	7	1026235	1026124
25461	1024	8	1026236	1026120
25461	1024	9	1026231	1026118
25461	1024	10	1026246	1026131
25461	1024	11	1026242	1026130
25461	1024	12	1026242	1026124
25461	1024	13	1026250	1026134
25461	1024	14	1026246	1026130
25461	1024	15	1026236	1026121
25461	1024	16	1026391	1026138
25461	1024	17	1026233	1026120
25461	1024	18	1026244	1026127
25461	1024	19	1026246	1026130
25461	1024	20	1026244	1026127
25461	1024	21	1026242	1026125
25461	1024	22	1026251	1026135
25461	1024	23	1026241	1026125
25461	1024	24	1026241	1026124
25461	1024	25	1026233	1026115
25461	1024	26	1026231	1026117
25461	1024	27	1026248	1026133
25461	1024	28	1026245	1026129
25461	1024	29	1026242	1026130
25461	1024	30	1026242	1026125
