ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	64	1	64143	64133
25461	64	2	64142	64136
25461	64	3	64134	64128
25461	64	4	64142	64134
25461	64	5	64143	64137
25461	64	6	64144	64134
25461	64	7	64141	64132
25461	64	8	64140	64135
25461	64	9	64143	64136
25461	64	10	64144	64136
25461	64	11	64141	64133
25461	64	12	64134	64128
25461	64	13	64138	64131
25461	64	14	64139	64130
25461	64	15	64138	64129
25461	64	16	64140	64134
25461	64	17	64144	64137
25461	64	18	64139	64130
25461	64	19	64143	64134
25461	64	20	64140	64131
25461	64	21	64143	64136
25461	64	22	64140	64134
25461	64	23	64136	64130
25461	64	24	64137	64130
25461	64	25	64146	64136
25461	64	26	64141	64135
25461	64	27	64144	64137
25461	64	28	64141	64134
25461	64	29	64140	64133
25461	64	30	64137	64128
