ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	4	1	4010	4009
25461	4	2	4012	4010
25461	4	3	4012	4010
25461	4	4	4003	4003
25461	4	5	4009	4009
25461	4	6	4009	4010
25461	4	7	4004	4004
25461	4	8	4012	4010
25461	4	9	4009	4009
25461	4	10	4010	4009
25461	4	11	4006	4005
25461	4	12	4011	4011
25461	4	13	4009	4010
25461	4	14	4010	4009
25461	4	15	4010	4010
25461	4	16	4010	4010
25461	4	17	4012	4011
25461	4	18	4009	4010
25461	4	19	4010	4009
25461	4	20	4010	4009
25461	4	21	4009	4009
25461	4	22	4011	4010
25461	4	23	4011	4010
25461	4	24	4008	4008
25461	4	25	4009	4009
25461	4	26	4008	4007
25461	4	27	4012	4010
25461	4	28	4006	4004
25461	4	29	4003	4003
25461	4	30	4009	4010
