ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	4096	1	4104972	4104503
25461	4096	2	4105274	4104530
25461	4096	3	4104942	4104478
25461	4096	4	4105098	4104502
25461	4096	5	4104957	4104493
25461	4096	6	4105089	4104512
25461	4096	7	4104972	4104512
25461	4096	8	4105092	4104520
25461	4096	9	4104953	4104492
25461	4096	10	4105065	4104487
25461	4096	11	4104945	4104485
25461	4096	12	4104943	4104480
25461	4096	13	4104954	4104498
25461	4096	14	4104953	4104489
25461	4096	15	4104960	4104484
25461	4096	16	4104959	4104492
25461	4096	17	4105081	4104504
25461	4096	18	4104944	4104481
25461	4096	19	4105070	4104501
25461	4096	20	4104946	4104481
25461	4096	21	4105205	4104507
25461	4096	22	4104953	4104485
25461	4096	23	4105122	4104518
25461	4096	24	4104959	4104487
25461	4096	25	4105071	4104497
25461	4096	26	4104950	4104488
25461	4096	27	4104939	4104478
25461	4096	28	4105004	4104498
25461	4096	29	4104960	4104509
25461	4096	30	4104963	4104492
