ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	32	1	32068	32065
25461	32	2	32074	32070
25461	32	3	32076	32071
25461	32	4	32070	32065
25461	32	5	32069	32064
25461	32	6	32068	32065
25461	32	7	32067	32065
25461	32	8	32070	32066
25461	32	9	32069	32064
25461	32	10	32074	32069
25461	32	11	32071	32069
25461	32	12	32076	32072
25461	32	13	32074	32070
25461	32	14	32074	32070
25461	32	15	32074	32071
25461	32	16	32069	32064
25461	32	17	32070	32065
25461	32	18	32074	32071
25461	32	19	32069	32065
25461	32	20	32074	32070
25461	32	21	32069	32065
25461	32	22	32072	32067
25461	32	23	32076	32072
25461	32	24	32074	32069
25461	32	25	32074	32070
25461	32	26	32068	32064
25461	32	27	32068	32063
25461	32	28	32070	32065
25461	32	29	32067	32065
25461	32	30	32074	32071
