"INC Number"	"Bin Number"	"Counts"
19	19038	37
19	19039	250
19	19040	552
19	19041	70
19	19042	32
19	19043	30
19	19044	19
19	19045	9
19	19046	0
19	19047	0
19	19048	0
19	19049	0
19	19050	0
19	19051	0
19	19052	0
19	19053	0
19	19054	0
19	19055	0
19	19056	0
19	19057	0
19	19058	0
19	19059	0
19	19060	1
19.125	19162	1
19.125	19163	13
19.125	19164	193
19.125	19165	477
19.125	19166	237
19.125	19167	22
19.125	19168	37
19.125	19169	16
19.125	19170	3
19.125	19171	0
19.125	19172	0
19.125	19173	0
19.125	19174	0
19.125	19175	0
19.125	19176	0
19.125	19177	0
19.125	19178	0
19.125	19179	0
19.125	19180	1
19.25	19288	13
19.25	19289	148
19.25	19290	452
19.25	19291	280
19.25	19292	34
19.25	19293	21
19.25	19294	28
19.25	19295	15
19.25	19296	8
19.25	19297	1
19.375	19413	2
19.375	19414	53
19.375	19415	307
19.375	19416	535
19.375	19417	60
19.375	19418	14
19.375	19419	19
19.375	19420	9
19.375	19421	1
19.5	19538	5
19.5	19539	42
19.5	19540	276
19.5	19541	516
19.5	19542	87
19.5	19543	22
19.5	19544	18
19.5	19545	13
19.5	19546	12
19.5	19547	8
19.5	19548	1
19.625	19664	6
19.625	19665	152
19.625	19666	471
19.625	19667	299
19.625	19668	53
19.625	19669	15
19.625	19670	3
19.625	19671	0
19.625	19672	0
19.625	19673	0
19.625	19674	0
19.625	19675	1
19.75	19789	1
19.75	19790	73
19.75	19791	394
19.75	19792	490
19.75	19793	28
19.75	19794	11
19.75	19795	2
19.75	19796	0
19.75	19797	0
19.75	19798	0
19.75	19799	0
19.75	19800	0
19.75	19801	0
19.75	19802	0
19.75	19803	0
19.75	19804	0
19.75	19805	0
19.75	19806	0
19.75	19807	0
19.75	19808	0
19.75	19809	1
19.875	19914	1
19.875	19915	58
19.875	19916	310
19.875	19917	518
19.875	19918	70
19.875	19919	18
19.875	19920	15
19.875	19921	8
19.875	19922	2
20	20039	2
20	20040	15
20	20041	217
20	20042	584
20	20043	160
20	20044	13
20	20045	6
20	20046	3
