ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	256	1	256562	256534
25461	256	2	256562	256531
25461	256	3	256560	256532
25461	256	4	256563	256533
25461	256	5	256563	256535
25461	256	6	256559	256529
25461	256	7	256566	256536
25461	256	8	256562	256535
25461	256	9	256564	256534
25461	256	10	256559	256530
25461	256	11	256556	256530
25461	256	12	256568	256537
25461	256	13	256563	256534
25461	256	14	256562	256532
25461	256	15	256558	256530
25461	256	16	256561	256533
25461	256	17	256565	256537
25461	256	18	256680	256538
25461	256	19	256563	256535
25461	256	20	256559	256530
25461	256	21	256562	256530
25461	256	22	256568	256540
25461	256	23	256560	256533
25461	256	24	256569	256538
25461	256	25	256564	256536
25461	256	26	256560	256530
25461	256	27	256561	256532
25461	256	28	256560	256532
25461	256	29	256567	256537
25461	256	30	256560	256530
