ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	512	1	513130	513073
25461	512	2	513125	513063
25461	512	3	513119	513062
25461	512	4	513131	513071
25461	512	5	513123	513067
25461	512	6	513127	513069
25461	512	7	513116	513058
25461	512	8	513127	513067
25461	512	9	513114	513061
25461	512	10	513119	513062
25461	512	11	513122	513066
25461	512	12	513125	513063
25461	512	13	513129	513070
25461	512	14	513115	513054
25461	512	15	513115	513059
25461	512	16	513125	513067
25461	512	17	513115	513059
25461	512	18	513123	513063
25461	512	19	513123	513063
25461	512	20	513128	513068
25461	512	21	513120	513061
25461	512	22	513127	513070
25461	512	23	513121	513064
25461	512	24	513117	513062
25461	512	25	513118	513055
25461	512	26	513121	513063
25461	512	27	513131	513073
25461	512	28	513129	513070
25461	512	29	513122	513067
25461	512	30	513123	513064
