ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	8192	1	8210034	8208989.999
25461	8192	2	8209918	8208992.999
25461	8192	3	8210026	8208993.999
25461	8192	4	8209905	8208980.999
25461	8192	5	8209983	8208951.999
25461	8192	6	8209881	8208953.999
25461	8192	7	8210030	8208986.999
25461	8192	8	8209908	8208986.999
25461	8192	9	8210215	8209019.999
25461	8192	10	8209896	8208970.999
25461	8192	11	8210068	8209015.999
25461	8192	12	8209896	8208965.999
25461	8192	13	8210023	8208979.999
25461	8192	14	8209889	8208964.999
25461	8192	15	8210037	8208990.999
25461	8192	16	8210213	8209005.999
25461	8192	17	8209911	8208982.999
25461	8192	18	8210089	8209013.999
25461	8192	19	8209882	8208963.999
25461	8192	20	8210027	8208986.999
25461	8192	21	8209932	8209007.999
25461	8192	22	8210040	8208994.999
25461	8192	23	8209971	8209000.999
25461	8192	24	8210010	8208980.999
25461	8192	25	8209901	8208968.999
25461	8192	26	8210032	8209004.999
25461	8192	27	8209895	8208984.999
25461	8192	28	8210170	8209006.999
25461	8192	29	8209892	8208973.999
25461	8192	30	8210065	8208994.999
