"INC Number"	"Bin Number"	"Counts"
21	21038	3
21	21039	14
21	21040	18
21	21041	12
21	21042	28
21	21043	144
21	21044	393
21	21045	324
21	21046	48
21	21047	11
21	21048	4
21	21049	0
21	21050	1
21.125	21163	1
21.125	21164	3
21.125	21165	13
21.125	21166	21
21.125	21167	20
21.125	21168	112
21.125	21169	353
21.125	21170	423
21.125	21171	49
21.125	21172	3
21.125	21173	0
21.125	21174	0
21.125	21175	0
21.125	21176	0
21.125	21177	0
21.125	21178	0
21.125	21179	1
21.125	21180	0
21.125	21181	0
21.125	21182	0
21.125	21183	0
21.125	21184	1
21.25	21289	6
21.25	21290	16
21.25	21291	18
21.25	21292	24
21.25	21293	49
21.25	21294	266
21.25	21295	496
21.25	21296	115
21.25	21297	8
21.25	21298	2
21.375	21413	1
21.375	21414	5
21.375	21415	13
21.375	21416	28
21.375	21417	23
21.375	21418	32
21.375	21419	145
21.375	21420	455
21.375	21421	267
21.375	21422	30
21.375	21423	1
21.5	21539	3
21.5	21540	21
21.5	21541	25
21.5	21542	24
21.5	21543	22
21.5	21544	127
21.5	21545	364
21.5	21546	354
21.5	21547	55
21.5	21548	3
21.5	21549	1
21.5	21550	1
21.625	21664	8
21.625	21665	11
21.625	21666	22
21.625	21667	24
21.625	21668	30
21.625	21669	63
21.625	21670	245
21.625	21671	502
21.625	21672	86
21.625	21673	6
21.625	21674	1
21.625	21675	0
21.625	21676	0
21.625	21677	1
21.625	21678	0
21.625	21679	0
21.625	21680	0
21.625	21681	0
21.625	21682	0
21.625	21683	0
21.625	21684	0
21.625	21685	1
21.75	21788	2
21.75	21789	3
21.75	21790	26
21.75	21791	21
21.75	21792	24
21.75	21793	23
21.75	21794	26
21.75	21795	216
21.75	21796	472
21.75	21797	165
21.75	21798	21
21.75	21799	1
21.875	21914	3
21.875	21915	16
21.875	21916	24
21.875	21917	25
21.875	21918	21
21.875	21919	27
21.875	21920	131
21.875	21921	418
21.875	21922	285
21.875	21923	48
21.875	21924	2
22	22039	2
22	22040	15
22	22041	45
22	22042	25
22	22043	28
22	22044	21
22	22045	73
22	22046	228
22	22047	434
22	22048	119
22	22049	9
22	22050	0
22	22051	0
22	22052	0
22	22053	0
22	22054	0
22	22055	0
22	22056	0
22	22057	0
22	22058	0
22	22059	1
