ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	2048	1	2052467	2052241
25461	2048	2	2052483	2052255
25461	2048	3	2052487	2052259
25461	2048	4	2052485	2052253
25461	2048	5	2052479	2052247
25461	2048	6	2052471	2052244
25461	2048	7	2052469	2052240
25461	2048	8	2052461	2052233
25461	2048	9	2052481	2052249
25461	2048	10	2052498	2052266
25461	2048	11	2052483	2052253
25461	2048	12	2052612	2052259
25461	2048	13	2052468	2052240
25461	2048	14	2052713	2052252
25461	2048	15	2052464	2052237
25461	2048	16	2052475	2052252
25461	2048	17	2052482	2052244
25461	2048	18	2052496	2052264
25461	2048	19	2052489	2052246
25461	2048	20	2052474	2052241
25461	2048	21	2052544	2052274
25461	2048	22	2052483	2052244
25461	2048	23	2052477	2052260
25461	2048	24	2052474	2052243
25461	2048	25	2052481	2052248
25461	2048	26	2052494	2052266
25461	2048	27	2052603	2052255
25461	2048	28	2052468	2052235
25461	2048	29	2052594	2052246
25461	2048	30	2052467	2052238
