ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	2	1	1999	1999
25461	2	2	2005	2005
25461	2	3	2005	2005
25461	2	4	2004	2005
25461	2	5	2002	2002
25461	2	6	2005	2005
25461	2	7	2005	2005
25461	2	8	2004	2004
25461	2	9	2005	2005
25461	2	10	2005	2004
25461	2	11	2005	2005
25461	2	12	2005	2005
25461	2	13	2005	2005
25461	2	14	2007	2005
25461	2	15	2007	2006
25461	2	16	2005	2005
25461	2	17	2000	2000
25461	2	18	2005	2005
25461	2	19	2007	2005
25461	2	20	2007	2005
25461	2	21	2005	2005
25461	2	22	2004	2005
25461	2	23	2004	2005
25461	2	24	2005	2005
25461	2	25	2007	2006
25461	2	26	2005	2005
25461	2	27	2001	2002
25461	2	28	2005	2005
25461	2	29	2005	2005
25461	2	30	2007	2006
