ITERNUM	U_TIME	S_TIME	PRTIME	METIME
1	513079	12	513091	513145
2	513081	10	513091	513148
3	513069	12	513081	513139
4	513082	4	513086	513140
5	513069	12	513081	513140
6	513070	9	513079	513137
7	513074	8	513082	513139
8	513071	8	513079	513139
9	513076	13	513089	513151
10	513079	8	513087	513144
11	513080	10	513090	513149
12	513074	8	513082	513140
13	513075	13	513088	513147
14	513077	10	513087	513144
15	513076	8	513084	513144
16	513075	21	513096	513157
17	513073	15	513088	513144
18	513075	8	513083	513140
19	513071	12	513083	513141
20	513071	13	513084	513143
21	513073	10	513083	513141
22	513079	10	513089	513146
23	513076	9	513085	513146
24	513075	14	513089	513144
25	513071	9	513080	513140
26	513083	5	513088	513146
27	513066	14	513080	513141
28	513067	9	513076	513138
29	513077	11	513088	513148
30	513086	14	513100	513161
31	513071	14	513085	513140
32	513074	17	513091	513150
33	513067	13	513080	513140
34	513079	10	513089	513146
35	513072	12	513084	513144
36	513072	15	513087	513146
37	513075	8	513083	513140
38	513073	12	513085	513142
39	513076	15	513091	513150
40	513073	10	513083	513140
41	513071	13	513084	513141
42	513083	11	513094	513149
43	513077	9	513086	513141
44	513077	14	513091	513151
45	513077	12	513089	513148
46	513070	15	513085	513149
47	513075	13	513088	513144
48	513078	11	513089	513143
49	513073	11	513084	513141
50	513071	18	513089	513143
51	513079	13	513092	513150
52	513082	11	513093	513150
53	513076	11	513087	513143
54	513073	16	513089	513147
55	513075	9	513084	513145
56	513072	10	513082	513143
57	513075	11	513086	513143
58	513079	15	513094	513153
59	513077	6	513083	513143
60	513070	15	513085	513140
61	513076	6	513082	513139
62	513069	16	513085	513142
63	513073	9	513082	513142
64	513077	9	513086	513140
65	513075	14	513089	513151
66	513070	7	513077	513140
67	513077	7	513084	513145
68	513068	11	513079	513138
69	513074	11	513085	513146
70	513069	15	513084	513142
71	513084	5	513089	513145
72	513082	8	513090	513150
73	513081	5	513086	513141
74	513071	10	513081	513138
75	513074	9	513083	513139
76	513078	18	513096	513153
77	513068	11	513079	513139
78	513074	13	513087	513143
79	513074	11	513085	513149
80	513078	13	513091	513145
81	513072	12	513084	513143
82	513079	7	513086	513140
83	513078	12	513090	513149
84	513077	13	513090	513146
85	513068	13	513081	513140
86	513068	14	513082	513140
87	513080	7	513087	513144
88	513076	7	513083	513139
89	513075	15	513090	513149
90	513071	12	513083	513137
91	513074	7	513081	513141
92	513083	8	513091	513148
93	513068	13	513081	513142
94	513073	13	513086	513145
95	513081	11	513092	513154
96	513067	11	513078	513138
97	513083	8	513091	513148
98	513071	13	513084	513143
99	513073	11	513084	513142
100	513087	10	513097	513152
101	513071	16	513087	513147
102	513072	10	513082	513140
103	513074	12	513086	513144
104	513078	6	513084	513143
105	513071	17	513088	513145
106	513072	13	513085	513145
107	513070	11	513081	513141
108	513079	9	513088	513143
109	513071	13	513084	513141
110	513086	9	513095	513150
111	513071	14	513085	513140
112	513075	9	513084	513141
113	513074	10	513084	513143
114	513088	26	513114	513193
115	513079	5	513084	513145
116	513071	13	513084	513147
117	513072	12	513084	513142
118	513078	14	513092	513148
119	513066	13	513079	513139
120	513079	8	513087	513143
121	513079	13	513092	513153
122	513067	18	513085	513144
123	513073	17	513090	513145
124	513071	15	513086	513143
125	513077	9	513086	513142
126	513079	10	513089	513148
127	513061	16	513077	513137
128	513074	7	513081	513145
129	513066	21	513087	513151
130	513068	18	513086	513144
131	513075	8	513083	513138
132	513064	13	513077	513140
133	513070	11	513081	513141
134	513077	13	513090	513145
135	513075	12	513087	513147
136	513082	8	513090	513149
137	513068	20	513088	513144
138	513074	26	513100	513201
139	513075	13	513088	513147
140	513076	8	513084	513141
141	513086	5	513091	513147
142	513071	20	513091	513145
143	513073	11	513084	513141
144	513079	15	513094	513153
145	513073	12	513085	513142
146	513077	7	513084	513144
147	513077	11	513088	513146
148	513080	7	513087	513147
149	513075	10	513085	513145
150	513076	8	513084	513146
151	513079	19	513098	513154
152	513071	14	513085	513142
153	513064	19	513083	513145
154	513076	14	513090	513142
155	513075	10	513085	513141
156	513073	10	513083	513141
157	513075	13	513088	513146
158	513078	7	513085	513144
159	513070	10	513080	513141
160	513071	14	513085	513143
161	513071	12	513083	513142
162	513070	10	513080	513139
163	513077	14	513091	513149
164	513071	15	513086	513146
165	513076	12	513088	513147
166	513077	15	513092	513149
167	513063	23	513086	513146
168	513074	10	513084	513141
169	513072	11	513083	513143
170	513074	12	513086	513145
171	513073	14	513087	513145
172	513078	10	513088	513150
173	513069	15	513084	513141
174	513068	14	513082	513139
175	513072	14	513086	513145
176	513070	11	513081	513140
177	513072	13	513085	513142
178	513077	15	513092	513152
179	513070	16	513086	513145
180	513073	11	513084	513142
181	513084	9	513093	513150
182	513069	8	513077	513137
183	513068	17	513085	513142
184	513070	20	513090	513148
185	513079	9	513088	513144
186	513259	104	513363	514855
187	513067	12	513079	513138
188	513074	10	513084	513144
189	513072	10	513082	513140
190	513077	12	513089	513145
191	513078	11	513089	513150
192	513077	10	513087	513147
193	513077	12	513089	513146
194	513063	23	513086	513143
195	513079	14	513093	513152
196	513079	9	513088	513145
197	513067	14	513081	513140
198	513078	10	513088	513148
199	513079	10	513089	513146
200	513076	9	513085	513141
201	513079	10	513089	513150
202	513065	14	513079	513137
203	513073	12	513085	513143
204	513069	19	513088	513144
205	513074	14	513088	513144
206	513075	12	513087	513147
207	513074	12	513086	513146
208	513071	16	513087	513143
209	513073	14	513087	513148
210	513078	11	513089	513146
211	513074	10	513084	513139
212	513071	16	513087	513151
213	513075	15	513090	513146
214	513075	12	513087	513145
215	513075	11	513086	513144
216	513071	15	513086	513145
217	513077	6	513083	513142
218	513069	12	513081	513142
219	513074	14	513088	513145
220	513083	11	513094	513148
221	513071	14	513085	513142
222	513066	14	513080	513139
223	513067	17	513084	513142
224	513067	13	513080	513138
225	513075	14	513089	513147
226	513076	15	513091	513148
227	513076	8	513084	513144
228	513073	12	513085	513141
229	513069	13	513082	513143
230	513070	10	513080	513138
231	513077	10	513087	513143
232	513068	13	513081	513140
233	513070	10	513080	513138
234	513074	13	513087	513145
235	513071	12	513083	513146
236	513066	17	513083	513142
237	513068	18	513086	513146
238	513079	12	513091	513147
239	513069	10	513079	513140
240	513068	14	513082	513142
241	513068	16	513084	513141
242	513069	10	513079	513138
243	513069	11	513080	513139
244	513080	7	513087	513150
245	513067	10	513077	513135
246	513064	14	513078	513140
247	513072	10	513082	513143
248	513072	11	513083	513142
249	513066	15	513081	513143
250	513075	15	513090	513146
251	513071	10	513081	513141
252	513075	12	513087	513145
253	513063	17	513080	513139
254	513070	13	513083	513141
255	513072	18	513090	513151
256	513075	16	513091	513146
257	513073	9	513082	513139
258	513077	7	513084	513143
259	513062	14	513076	513137
260	513067	15	513082	513139
261	513081	9	513090	513147
262	513075	11	513086	513147
263	513080	9	513089	513150
264	513075	7	513082	513140
265	513078	7	513085	513143
266	513072	11	513083	513143
267	513070	22	513092	513154
268	513075	9	513084	513140
269	513079	12	513091	513150
270	513076	11	513087	513145
271	513072	13	513085	513146
272	513080	10	513090	513147
273	513070	8	513078	513139
274	513070	13	513083	513143
275	513078	14	513092	513149
276	513067	15	513082	513140
277	513076	14	513090	513152
278	513066	17	513083	513145
279	513074	9	513083	513143
280	513072	13	513085	513142
281	513069	15	513084	513145
282	513067	12	513079	513137
283	513073	11	513084	513146
284	513074	14	513088	513148
285	513075	18	513093	513173
286	513078	9	513087	513146
287	513068	11	513079	513138
288	513065	13	513078	513139
289	513072	8	513080	513141
290	513075	15	513090	513148
291	513080	10	513090	513148
292	513074	11	513085	513141
293	513076	13	513089	513145
294	513074	9	513083	513140
295	513075	9	513084	513142
296	513073	13	513086	513142
297	513074	14	513088	513146
298	513071	11	513082	513146
299	513077	6	513083	513139
300	513081	10	513091	513149
