ITERNUM	U_TIME	S_TIME	PRTIME	METIME
937	32071	0	32071	32076
938	32065	1	32066	32070
939	32065	1	32066	32069
940	32071	1	32072	32076
941	32064	1	32065	32070
942	32064	3	32067	32069
943	32068	1	32069	32073
944	32070	2	32072	32076
945	32065	2	32067	32070
946	32066	1	32067	32070
947	32072	1	32073	32077
948	32065	1	32066	32070
949	32066	1	32067	32070
950	32070	1	32071	32076
951	32067	0	32067	32072
952	32067	2	32069	32073
953	32072	1	32073	32075
954	32066	2	32068	32072
955	32067	1	32068	32075
956	32067	0	32067	32071
957	32070	2	32072	32076
958	32068	0	32068	32075
959	32064	2	32066	32072
960	32072	1	32073	32076
961	32065	2	32067	32069
962	32065	1	32066	32069
963	32071	2	32073	32078
964	32066	0	32066	32070
965	32066	1	32067	32069
966	32069	1	32070	32073
967	32069	2	32071	32076
968	32065	0	32065	32070
969	32066	1	32067	32069
970	32072	0	32072	32075
971	32066	2	32068	32071
972	32066	1	32067	32069
973	32070	3	32073	32076
974	32066	0	32066	32070
975	32065	1	32066	32072
976	32072	1	32073	32076
977	32065	2	32067	32070
978	32066	0	32066	32069
979	32067	0	32067	32072
980	32072	4	32076	32079
981	32066	0	32066	32069
982	32065	0	32065	32070
983	32073	0	32073	32077
984	32067	0	32067	32071
985	32066	0	32066	32069
986	32070	1	32071	32076
987	32065	2	32067	32072
988	32066	1	32067	32070
989	32068	0	32068	32072
990	32071	1	32072	32075
991	32067	1	32068	32071
992	32066	1	32067	32069
993	32072	1	32073	32075
994	32065	1	32066	32070
995	32068	0	32068	32071
996	32071	2	32073	32075
997	32067	0	32067	32069
998	32063	3	32066	32069
999	32072	0	32072	32076
1000	32069	0	32069	32073
