ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	8422	8421	8624	1	203	3	95
2	8423	8422	8625	1	203	3	95
3	8421	8420	8623	1	203	3	94
4	8416	8417	8617	-1	200	2	94
5	8416	8415	8618	1	203	3	94
6	8422	8421	8624	1	203	3	94
7	8422	8421	8622	1	201	3	94
8	8421	8421	8624	0	203	3	94
9	8422	8420	8624	2	204	4	94
10	8422	8419	8623	3	204	4	94
11	8421	8421	8624	0	203	3	94
12	8419	8418	8621	1	203	3	94
13	8416	8414	8616	2	202	4	94
14	8419	8417	8621	2	204	4	94
15	8423	8420	8624	3	204	4	94
16	8422	8421	8624	1	203	3	94
17	8422	8421	8622	1	201	3	94
18	8543	8424	8744	119	320	4	95
19	8422	8421	8622	1	201	3	94
20	8420	8419	8624	1	205	3	94
21	8420	8420	8621	0	201	2	94
22	8410	8409	8612	1	203	3	94
23	8422	8421	8622	1	201	3	94
24	8422	8421	8624	1	203	3	94
25	8422	8421	8622	1	201	3	94
26	8423	8421	8624	2	203	3	94
27	8421	8421	8622	0	201	3	94
28	8422	8421	8622	1	201	3	94
29	8419	8418	8623	1	205	3	94
30	8421	8419	8623	2	204	4	94
31	8410	8407	8612	3	205	4	94
32	8421	8419	8621	2	202	4	94
33	8422	8420	8622	2	202	4	94
34	8422	8420	8622	2	202	4	94
35	8422	8421	8624	1	203	3	94
36	8422	8421	8624	1	203	3	94
37	8419	8420	8622	-1	202	2	94
38	8422	8421	8622	1	201	3	94
39	8419	8417	8620	2	203	3	94
40	8413	8413	8614	0	201	3	94
