ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	274048	274025	274259	23	234	7	95
2	274043	274022	274255	21	233	6	95
3	274047	274025	274264	22	239	8	95
4	274049	274026	274262	23	236	7	95
5	274040	274016	274251	24	235	8	95
6	274052	274027	274266	25	239	8	95
7	274045	274023	274259	22	236	6	95
8	274043	274019	274258	24	239	6	95
9	274050	274029	274264	21	235	7	95
10	274044	274023	274258	21	235	8	95
11	274043	274018	274257	25	239	8	95
12	274044	274022	274260	22	238	8	95
13	274054	274033	274268	21	235	7	95
14	274042	274019	274256	23	237	6	95
15	274048	274026	274261	22	235	8	95
16	274044	274024	274258	20	234	7	95
17	274047	274027	274260	20	233	7	95
18	274051	274030	274265	21	235	8	95
19	274051	274032	274266	19	234	7	95
20	274053	274029	274265	24	236	7	95
21	274051	274025	274265	26	240	8	95
22	274048	274029	274261	19	232	6	95
23	274051	274030	274264	21	234	6	95
24	274041	274019	274257	22	238	8	95
25	274052	274026	274265	26	239	9	95
26	274042	274021	274257	21	236	7	95
27	274176	274029	274388	147	359	8	96
28	274049	274026	274261	23	235	8	96
29	274041	274021	274253	20	232	7	95
30	274052	274024	274264	28	240	8	95
31	274040	274020	274254	20	234	8	95
32	274051	274026	274265	25	239	8	95
33	274050	274028	274263	22	235	7	95
34	274045	274025	274259	20	234	7	95
35	274053	274032	274266	21	234	9	95
36	274048	274026	274260	22	234	8	95
37	274045	274023	274259	22	236	7	95
38	274046	274025	274259	21	234	6	95
39	274052	274026	274265	26	239	8	95
40	274044	274023	274260	21	237	7	95
