ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	8483	8483	8686	0	203	3	95
2	8482	8481	8687	1	206	4	95
3	8488	8485	8691	3	206	4	94
4	8487	8485	8689	2	204	4	94
5	8488	8486	8690	2	204	4	94
6	8487	8486	8690	1	204	4	94
7	8489	8487	8690	2	203	3	94
8	8486	8486	8688	0	202	2	94
9	8488	8487	8688	1	201	3	94
10	8488	8487	8688	1	201	3	94
11	8488	8486	8692	2	206	4	94
12	8488	8487	8690	1	203	3	94
13	8475	8474	8675	1	201	3	94
14	8487	8486	8689	1	203	3	94
15	8487	8487	8688	0	201	3	94
16	8488	8487	8688	1	201	3	94
17	8486	8486	8686	0	200	2	94
18	8488	8487	8688	1	201	3	94
19	8488	8486	8690	2	204	4	94
20	8487	8485	8689	2	204	4	94
21	8488	8486	8688	2	202	4	94
22	8488	8486	8688	2	202	4	94
23	8487	8486	8689	1	203	3	94
24	8481	8479	8683	2	204	4	94
25	8478	8477	8682	1	205	3	94
26	8486	8485	8685	1	200	2	94
27	8488	8486	8688	2	202	4	94
28	8487	8487	8690	0	203	3	94
29	8487	8486	8688	1	202	3	94
30	8488	8486	8691	2	205	3	94
31	8488	8487	8688	1	201	3	94
32	8488	8487	8688	1	201	3	94
33	8488	8487	8690	1	203	3	94
34	8486	8484	8685	2	201	3	94
35	8486	8485	8686	1	201	3	94
36	8476	8473	8675	3	202	4	94
37	8485	8484	8685	1	201	3	94
38	8487	8487	8690	0	203	3	94
39	8488	8487	8688	1	201	3	94
40	8488	8487	8688	1	201	3	94
