ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	1760757	1760460	1761000	297	540	8	96
2	1760625	1760456	1760866	169	410	9	95
3	1760632	1760455	1760873	177	418	9	95
4	1760614	1760437	1760856	177	419	9	95
5	1760616	1760451	1760860	165	409	9	95
6	1760618	1760446	1760861	172	415	9	95
7	1760609	1760439	1760852	170	413	9	95
8	1760602	1760435	1760849	167	414	9	95
9	1760610	1760444	1760857	166	413	9	95
10	1760681	1760390	1760919	291	529	8	96
11	1760554	1760388	1760796	166	408	9	95
12	1760547	1760373	1760789	174	416	10	95
13	1760572	1760399	1760816	173	417	9	95
14	1760582	1760412	1760821	170	409	8	95
15	1760601	1760428	1760841	173	413	9	95
16	1760601	1760426	1760846	175	420	10	95
17	1760644	1760469	1760884	175	415	10	95
18	1760750	1760445	1760990	305	545	10	96
19	1760653	1760465	1760893	188	428	10	97
20	1760629	1760451	1760870	178	419	9	95
21	1760627	1760451	1760868	176	417	9	95
22	1760615	1760447	1760856	168	409	9	95
23	1760611	1760431	1760852	180	421	9	95
24	1760594	1760421	1760837	173	416	10	95
25	1760663	1760450	1760911	213	461	17	113
26	1760850	1760435	1761094	415	659	10	97
27	1760599	1760430	1760836	169	406	9	95
28	1760598	1760433	1760836	165	403	9	95
29	1760607	1760436	1760845	171	409	8	95
30	1760592	1760422	1760837	170	415	9	95
31	1760595	1760427	1760838	168	411	9	95
32	1760604	1760435	1760847	169	412	8	95
33	1760604	1760431	1760848	173	417	10	95
34	1760759	1760462	1761002	297	540	11	96
35	1760634	1760453	1760877	181	424	9	95
36	1760636	1760463	1760875	173	412	8	95
37	1760623	1760457	1760864	166	407	9	95
38	1760599	1760435	1760840	164	405	10	95
39	1760614	1760431	1760854	183	423	10	95
40	1760609	1760435	1760854	174	419	9	95
