ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	2156148	2155928	2156390	220	462	9	95
2	2156168	2155951	2156406	217	455	10	95
3	2156291	2155946	2156528	345	582	10	96
4	2156155	2155942	2156394	213	452	9	95
5	2156148	2155933	2156389	215	456	9	95
6	2156131	2155904	2156369	227	465	10	95
7	2156135	2155923	2156380	212	457	10	95
8	2156145	2155929	2156382	216	453	9	95
9	2156119	2155894	2156357	225	463	8	95
10	2156253	2155911	2156487	342	576	10	96
11	2156121	2155889	2156357	232	468	9	95
12	2156129	2155909	2156364	220	455	10	95
13	2156149	2155929	2156396	220	467	9	95
14	2156151	2155941	2156393	210	452	8	95
15	2156143	2155930	2156382	213	452	9	95
16	2156290	2155942	2156524	348	582	10	96
17	2156161	2155930	2156399	231	469	12	97
18	2156147	2155920	2156387	227	467	9	95
19	2156154	2155934	2156397	220	463	10	95
20	2156130	2155901	2156366	229	465	9	95
21	2156142	2155921	2156382	221	461	8	95
22	2156208	2155946	2156446	262	500	16	113
23	2156396	2155924	2156627	472	703	11	97
24	2156146	2155919	2156381	227	462	9	95
25	2156147	2155925	2156387	222	462	11	96
26	2156142	2155930	2156381	212	451	9	95
27	2156153	2155934	2156393	219	459	9	95
28	2156168	2155951	2156409	217	458	9	95
29	2156162	2155939	2156401	223	462	9	95
30	2156293	2155956	2156536	337	580	11	96
31	2156141	2155927	2156380	214	453	9	95
32	2156156	2155931	2156397	225	466	10	95
33	2156150	2155930	2156387	220	457	9	95
34	2156141	2155924	2156382	217	458	9	95
35	2156142	2155912	2156377	230	465	10	95
36	2156288	2155947	2156531	341	584	10	96
37	2156146	2155920	2156379	226	459	9	95
38	2156145	2155924	2156385	221	461	8	95
39	2156149	2155932	2156393	217	461	9	95
40	2156148	2155928	2156388	220	460	10	95
