"INC Number"	"Bin Number"	"Counts"
512	513064	2
512	513066	0
512	513068	8
512	513070	17
512	513072	32
512	513074	41
512	513076	54
512	513078	50
512	513080	36
512	513082	24
512	513084	13
512	513086	10
512	513088	10
512	513090	2
512	513092	0
512	513094	1
1024	1026123	1
1024	1026125	1
1024	1026127	2
1024	1026129	4
1024	1026131	7
1024	1026133	11
1024	1026135	18
1024	1026137	25
1024	1026139	31
1024	1026141	38
1024	1026143	29
1024	1026145	30
1024	1026147	30
1024	1026149	17
1024	1026151	21
1024	1026153	17
1024	1026155	6
1024	1026157	2
1024	1026159	2
1024	1026161	2
1024	1026163	2
1024	1026165	2
1024	1026167	0
1024	1026169	2
