"INC Number"	"Bin Number"	"Counts"
8192	8209023	2
8192	8209028	1
8192	8209033	1
8192	8209038	2
8192	8209043	3
8192	8209048	8
8192	8209053	5
8192	8209058	11
8192	8209063	9
8192	8209068	9
8192	8209073	12
8192	8209078	18
8192	8209083	19
8192	8209088	22
8192	8209093	29
8192	8209098	30
8192	8209103	20
8192	8209108	20
8192	8209113	22
8192	8209118	14
8192	8209123	13
8192	8209128	11
8192	8209133	8
8192	8209138	7
8192	8209143	2
8192	8209148	1
8192	8209153	0
8192	8209158	1
